"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg",53.550341,10.000654,6.2,9.93333333333333,6.09675277777778,1,11.6
"Berlin","Berlin","Berlin",52.510885,13.3989367,7.8,12.6333333333333,8.68190462962963,1,2.6
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern",54.1779039,12.0812875,8,11.4333333333333,10.7622231481481,2,1.6
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein",54.3146777135231,8.60410826459091,6.6,9.93333333333333,6.07483888888889,1,7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein",53.9981853,10.7799016,6.46666666666667,10.6333333333333,7.37850833333333,1,11.8
"Norderney","Niedersachsen","Norderney, Niedersachsen",53.7056126,7.1438175,8.06666666666667,9.4,9.91866481481481,2,0.4
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern",54.1483764,11.7441876,7.86666666666667,11.1666666666667,10.6102157407407,2,2.2
"Dresden","Sachsen","Dresden, Sachsen",51.0493286,13.7381437,6.4,10.8333333333333,6.08374907407407,1,17.1
"München","Bayern","München, Bayern",48.1371079,11.5753822,5.93333333333333,11.6666666666667,6.93139074074074,1,6.1
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen",50.938361,6.959974,8.33333333333333,14.3,11.1223555555556,1,0.5
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern",54.4010291,13.6076477,8.33333333333333,6.9,12.4268962962963,3,0
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen",53.86878,8.698286,6.2,10.0666666666667,5.39090277777778,1,7.7
"Leipzig","Sachsen","Leipzig, Sachsen",51.3406321,12.3747329,6.4,10.7,4.92866574074074,1,13.7
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen",50.1106444,8.6820917,7.93333333333333,14.8,9.24721851851852,2,1.9
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein",54.1441095,10.9588499,7.26666666666667,9.5,8.39111759259259,1,4.1
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein",54.1298489,8.8586989,6.6,10.2666666666667,5.86804537037037,1,6.9
"Borkum","Niedersachsen","Borkum, Niedersachsen",53.5862669,6.6917449,8.26666666666667,9.86666666666667,11.0933851851852,2,0.3
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg",47.659216,9.1750718,6.66666666666667,14.5333333333333,6.94534351851852,1,7.1
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern",53.9864246,11.205923,7.2,10.5333333333333,8.20146203703704,1,3.9
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern",47.4923741,11.0962815,4.8,12.9333333333333,6.57606944444444,1,14.3
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein",53.866444,10.684738,6.4,11.1,6.92236851851852,1,9.2
