"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"09.11.2025",9,17.7,8.99314722222222,0,0
"10.11.2025",9,19,7.9668,0,0
"11.11.2025",9.2,18.9,8.92316111111111,0,0
"12.11.2025",9.4,20.1,8.063975,0,0
"13.11.2025",9.2,20.1,8.93627777777778,0,0
"14.11.2025",3.1,20.1,5.03043333333333,3.4,11
"15.11.2025",8,19.4,8.99356111111111,0,0
"16.11.2025",7.8,18.5,4.8184,1,0
"17.11.2025",8.4,17.5,8.81231666666667,0,0
"18.11.2025",8.4,17.8,8.83701111111111,0,0
"19.11.2025",8.2,16.4,8.78842777777778,0,0
