"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",5.2,-1.33333333333333,0.222200925925926,2,1.5
"München","Deutschland :de:",5.8,2.56666666666667,0.0346212962962963,1,2.3
"Hamburg","Deutschland :de:",5.53333333333333,-0.866666666666667,0.914751851851852,3,0
"Köln","Deutschland :de:",5.13333333333333,6.53333333333333,1.61237037037037,0,8.8
"Dresden","Deutschland :de:",5.6,0.9,1.47090925925926,1,9.1
"Leipzig","Deutschland :de:",5.53333333333333,-0.266666666666667,0.111640740740741,3,0
"Frankfurt am Main","Deutschland :de:",7.26666666666667,5.23333333333333,6.04564722222222,3,0
"Freiburg im Breisgau","Deutschland :de:",6.4,5.2,3.12293148148148,2,0.9
"Berchtesgaden","Deutschland :de:",6.13333333333333,2.86666666666667,2.7398287037037,0,3.5
"Garmisch-Partenkirchen","Deutschland :de:",6.66666666666667,4.1,4.89664537037037,1,2.1
"Binz (Rügen)","Deutschland :de:",5,-0.3,2.55162037037037,2,7.6
"Heringsdorf (Usedom)","Deutschland :de:",5.46666666666667,-0.466666666666667,2.93109074074074,1,4.4
"Westerland (Sylt)","Deutschland :de:",5.13333333333333,-0.7,0,1,2.3
"Wernigerode (Harz)","Deutschland :de:",6.33333333333333,1.16666666666667,3.076425,2,0.6
"Cochem (Mosel)","Deutschland :de:",5.86666666666667,8.03333333333333,1.25103055555556,0,5.8
"Kempten (Allgäu)","Deutschland :de:",6.46666666666667,3.03333333333333,2.07575277777778,3,0
"Nürnberg","Deutschland :de:",5.73333333333333,2.43333333333333,0.207749074074074,1,1.7
"Münster","Deutschland :de:",6.26666666666667,2.6,2.72428240740741,1,2.5
"Stuttgart","Deutschland :de:",7.13333333333333,6.5,5.17859351851852,2,0.2
"Norderney","Deutschland :de:",5.46666666666667,0.0333333333333333,1.91580462962963,1,1.3
"Erfurt","Deutschland :de:",5.73333333333333,0.4,1.68877592592593,3,0
"Bremen","Deutschland :de:",6.8,0.8,5.24845,3,0
"Timmendorfer Strand","Deutschland :de:",4.8,-0.9,1.09911388888889,1,0.6
"Karlsbad","Tschechien :cz:",5.6,0.933333333333333,1.82124537037037,2,5.9
"Enschede","Niederlande :nl:",6.2,2.6,4.60938148148148,1,1.8
"Pilsen","Tschechien :cz:",5.4,1.1,0.563256481481482,2,13.5
"Maastricht","Niederlande :nl:",5.26666666666667,6.1,0.0245416666666667,0,6.1
"Giethoorn","Niederlande :nl:",5.33333333333333,0.666666666666667,2.166625,1,2.1
"Groningen","Niederlande :nl:",5.66666666666667,-0.333333333333333,2.58241018518519,2,1.2
"Eindhoven","Niederlande :nl:",5.6,4.73333333333333,0.753769444444444,1,8.1
"Prag","Tschechien :cz:",5.6,0.533333333333333,2.03745092592593,1,10.8
"Luxemburg","Luxemburg :lu:",3.73333333333333,7.03333333333333,0,0,11.2
"Straßburg","Frankreich :fr:",6.53333333333333,5.5,2.81018333333333,2,0.9
"Amsterdam","Niederlande :nl:",6.06666666666667,2.4,1.39359166666667,0,2.1
"Dinant","Belgien :be:",4.1,7.6,0,0,10
"Rotterdam","Niederlande :nl:",5.86666666666667,3.36666666666667,1.26538888888889,1,6.4
"Antwerpen","Belgien :be:",5.33333333333333,5,0,1,4.2
"Zandvoort","Niederlande :nl:",6,2.8,1.42680740740741,1,3.3
"Český Krumlov","Tschechien :cz:",5.53333333333333,1.23333333333333,1.38852314814815,0,3.2
"Terschelling","Niederlande :nl:",6.33333333333333,1.63333333333333,2.64090185185185,2,1.3
"Noordwijk","Niederlande :nl:",6,2.9,1.54070092592593,1,3.4
