"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.11.2025",8.8,16.9,7.68910833333333,0,0
"14.11.2025",7.4,17.8,6.63802222222222,1.1,1
"15.11.2025",5.8,14.7,0.396113888888889,1.9,0
"16.11.2025",6.2,12.6,0,0.5,0
"17.11.2025",7.6,8.9,6.98820277777778,0,0
"18.11.2025",6.4,4.8,1.69690555555556,0.6,0
"19.11.2025",7,4,7.54742777777778,0.5,0
"20.11.2025",5.6,2.6,0,0.6,0
"21.11.2025",5.4,3.6,0,0.6,0
"22.11.2025",5.8,2.6,0,0,0
"23.11.2025",5.8,4.2,0,0.2,0
