"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.04.2026",9.4,19.8,13.10545,0,0
"24.04.2026",9.6,19.8,13.3014083333333,0,0
"25.04.2026",9.8,21.5,13.0194166666667,0,0
"26.04.2026",9.4,17.2,13.9430027777778,0,0
"27.04.2026",9.2,17.3,12.0650083333333,0,0
"28.04.2026",6.6,12.5,1.92839444444444,1.5,0
"29.04.2026",5.4,10.8,0.40905,5,0
"30.04.2026",8.4,11.4,14.1662222222222,0,0
"01.05.2026",8,9.6,14.2563333333333,0.6,0
"02.05.2026",8.2,11.2,14.3373944444444,0,0
"03.05.2026",8.8,16.5,14.3637083333333,0,0
