"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"18.04.2026",9.6,21.6,12.1098083333333,0,0
"19.04.2026",1,13,0,18.05,12
"20.04.2026",5.8,12,7.69466111111111,1.8,3
"21.04.2026",8.4,13.6,12.2967444444444,0.2,0
"22.04.2026",9,15.2,13.991175,0,0
"23.04.2026",8.2,12.9,11.4193027777778,0,0
"24.04.2026",8.6,11.5,14,0,0
"25.04.2026",8.4,10.9,13.6553583333333,0,0
"26.04.2026",7.6,9.6,8.86014722222222,0.9,0
"27.04.2026",6.4,6.9,2.36983055555556,1.7,0
"28.04.2026",8.2,9.5,14,0.3,0
