"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.12.2025",8.2,5.4,6.33383888888889,0,0
"24.12.2025",8,3.8,6.39660277777778,0,0
"25.12.2025",6.8,-0.2,6.42393888888889,0,0
"26.12.2025",8,1.7,6.46527777777778,0,0
"27.12.2025",8,2,6.47641666666667,0,0
"28.12.2025",7.4,5,1.14876666666667,0,0
"29.12.2025",6.8,6.8,0,0,0
"30.12.2025",6.8,7.4,0,0,0
"31.12.2025",7.6,7.7,6.32990555555556,0,0
"01.01.2026",6.4,7.3,4.69036388888889,2.3,0
"02.01.2026",7,7.2,5.90028055555555,0.3,0
