"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",6.4,3.25,3.26265833333333,0,2
"Berlin","Berlin","Berlin","(BE)",6.1,3.9,2.99845972222222,0,1.8
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",6.7,3.15,3.50450694444444,0,0.9
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",7,3.9,4.98415416666667,1,0.7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",6.4,3,3.44281805555556,0,1.5
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",6.1,-1.7,7.46121944444444,2,0
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",6.6,3.05,3.57519305555556,0,0.9
"Dresden","Sachsen","Dresden, Sachsen","(SN)",6.3,5.15,3.14419027777778,1,2.1
"München","Bayern","München, Bayern","(BY)",6.3,4.25,4.17248611111111,1,4.4
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",6.2,4,3.38967638888889,0,1.5
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",6.3,1.85,3.6086625,0,1.6
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",6.8,3.25,5.17276666666667,1,1.8
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",6.1,4.9,1.87393333333333,1,1.6
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6.3,8,2.87952638888889,0,2.7
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",6.6,2.85,3.42649166666667,0,1
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",7,3.65,5.07567361111111,1,0.7
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",5.9,-1.3,7.49828333333333,0,0.3
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",5.2,5.45,2.17097361111111,0,8.2
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",6.3,3.25,3.49289444444444,0,1.6
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",5.8,4.15,5.0073875,0,9.5
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",6.5,2.95,3.38163333333333,0,1.3
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",6.4,3.7,2.93925555555556,0,1.7
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",5.9,3.85,3.47910972222222,1,10.3
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",6.3,2.05,3.57548611111111,0,1.8
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",6,2.55,3.50244722222222,0,2
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",6.7,3,3.51722222222222,0,0.7
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",6.4,4.3,3.11614722222222,0,2.3
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",6.4,3,3.44281805555556,0,1.5
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",6.5,3.1,3.43926111111111,1,1
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",6.6,5.65,3.22449166666667,0,1.2
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",5.1,3.25,4.55861805555556,0,9.1
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",6.6,8.05,4.77445138888889,0,2.9
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",5.9,0.2,3.83933055555556,0,0.8
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",6.3,4.75,2.84261527777778,0,1.8
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",6.4,3.15,3.56978194444444,0,1.6
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",6.1,-2.4,7.46380138888889,2,0
