"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.03.2026",8.2,8.2,6.38631666666667,0,0
"22.03.2026",8.8,11.6,10.8862111111111,0,0
"23.03.2026",8.4,6.1,10,0,0
"24.03.2026",8.6,9.4,10.10855,0,0
"25.03.2026",6.2,12.5,1.36735,0.6,0
"26.03.2026",8.4,10.1,10.9782333333333,0,0
"27.03.2026",8.2,8.9,11.36155,0,0
"28.03.2026",8.2,6.7,11.618675,0,0
"29.03.2026",8.2,5.3,11.6523,0,0
"30.03.2026",8.2,8,11.76305,0,0
"31.03.2026",7.6,6.7,6.04697777777778,0.1,0
