"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"18.01.2026",7.4,13.6,2.29871944444444,0.3,0
"19.01.2026",7.2,14,1.47460277777778,0.2,0
"20.01.2026",8.4,14,7.96755277777778,0,0
"21.01.2026",8.6,14,8.645525,0,0
"22.01.2026",8.6,13,8.68926111111111,0,0
"23.01.2026",8,15.1,6.05167222222222,0,0
"24.01.2026",5.6,12.9,6.32149722222222,2.1,2
"25.01.2026",5.6,13.2,0.487788888888889,3.5,0
"26.01.2026",7,12.5,8.86919444444444,1.1,0
"27.01.2026",6.6,12.7,8.86740555555556,4.1,0
"28.01.2026",6.4,12.6,6.68794722222222,1.8,0
