"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",6.4,1.75,0,1,0.3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",6.1,8.15,1.36020694444444,0,1.1
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",5.2,1,0,1,3
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",7,10.2,5.19799305555556,1,0.6
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",5.3,6.1,0,1,2.2
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",5.8,3.65,0,1,2.1
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",6.4,6.85,2.57267777777778,1,1
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7.1,11.05,4.83552222222222,1,1.5
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",5.6,7.05,3.66251111111111,0,2.06
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",6,6.45,3.52286527777778,1,1.2
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",5.6,0.65,0,0,0.72
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",5.6,0,0,1,0.6
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",5.1,0.95,0,1,3.6
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.9,3.45,3.5746,2,0
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",7.2,7.65,3.72724027777778,1,1.3
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",5.05,7.05,1.68163888888889,0,3.2
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.3,5.3,0,0,1.1
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7.7,7.85,5.34228194444444,1,0.5
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",7.3,9.75,3.97423194444444,0,0.8
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",6.6,2.1,0.680548611111111,1,1.1
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.9,3.3,1.59644305555556,2,0
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.4,1.75,0,1,0.4
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.2,0.25,0,1,0.22
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.7,4.25,0.00270972222222222,2,0
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",7.5,7.2,5.77089722222222,1,0.8
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.3,4.05,0,1,0.84
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",5.2,10.3,4.04024305555556,1,2.4
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",6.8,5.2,1.67956944444444,1,0.3
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",6.8,3.1,1.90290555555556,1,0.9
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",5.75,9.55,4.00826388888889,1,1.5
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",5.8,6.15,0,1,1.73
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",4.4,7,2.30498194444444,1,4
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.3,10.7,4.03631111111111,1,1.4
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",5.2,8,4,0,1.8
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",5.55,9.65,4.03237222222222,1,2.7
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",4.85,9.3,4,1,2.1
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",5.1,10.95,4,1,3
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",4.75,8,4,1,2.3
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",7.1,4.85,2.15889166666667,1,0.2
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",5.8,3.05,1.09102222222222,1,1.5
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",4.95,8.4,4.06933055555556,1,2.4
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",5.2,6.6,3.50531527777778,1,1.9
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.05,11.6,5.630375,1,2.8
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",5.15,11.7,4.38896388888889,1,1.2
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",4.6,3.3,2.26237777777778,0,3.6
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",4.95,8.75,4,1,1.9
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",4.9,1.15,0,0,1.4
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",4.8,8.1,1.9422375,0,6.67
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",4.5,8.45,3.51983333333333,1,5.1
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",6.5,4.9,0,1,0.4
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",5.75,9.7,4.77265833333333,0,3.6
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",5.85,11.1,4.19774305555556,1,2.9
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",6.6,7.7,4.03449583333333,1,0
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",4.5,9.3,3.62465138888889,1,4.2
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",5.8,2.45,0,1,2.92
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",3.2,0.7,0,0,7
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",6.4,1,0,1,0.1
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",6.2,5.05,5.53091666666667,0,0.6
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",4.5,10.95,3.96267916666667,1,3
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",4.75,7.7,3.52460416666667,0,3.91
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",6.05,9.15,5.28737083333333,1,1.4
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",4.5,10.6,3.99528472222222,1,2.5
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",4.4,10.75,3.42963055555556,1,3
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",3.3,0.85,0,0,5
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",4.25,1,0,0,2.4
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",7.2,6.65,2.03378333333333,2,0
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",7.9,10.7,5.4788,2,0
"Bern","Schweiz",46.9484742,7.4521749,"Bern, Schweiz",6.5,9.85,5.40865138888889,1,2.9
"Bornholm","Dänemark",55.1431224,14.9226297,"Bornholm, Dänemark",3.4,-0.05,0,0,4.6
"Aarhus","Dänemark",56.1496278,10.2134046,"Aarhus, Dänemark",2.8,0.65,0,0,8.6
"St. Moritz","Schweiz",46.4978958,9.8392428,"St. Moritz, Schweiz",7.2,0.1,6.23180972222222,2,0
"Hvide Sande","Dänemark",56.0057884,8.1288435,"Hvide Sande, Dänemark",6.2,0.5,0,1,0.1
"Interlaken","Schweiz",46.6855231,7.8585139,"Interlaken, Schweiz",6.15,8.95,5.31964166666667,1,1.8
"Bozen","Italien",46.4984781,11.3547399,"Bozen, Italien",8,10.75,5.25538611111111,2,0
"Wien","Österreich",48.2083537,16.3725042,"Wien, Österreich",6.9,7.9,0.137761111111111,2,0
"Dijon","Frankreich",47.3306482417266,5.04637916570386,"Dijon, Frankreich",7.6,12,6.53594305555556,1,0.6
"Ostrava","Tschechien",49.8357051466446,18.2847749462072,"Ostrava, Tschechien",4.25,3.85,0,0,0.44
"Klagenfurt am Wörthersee","Österreich",46.623943,14.3075976,"Klagenfurt am Wörthersee, Österreich",7.6,7.6,3.92082916666667,2,0
"Riva del Garda","Italien",45.8847708,10.8396942,"Riva del Garda, Italien",8.3,13.55,6.48300138888889,2,0
"Graz","Österreich",47.0708678,15.4382786,"Graz, Österreich",8,8.75,4.649775,2,0
"Le Touquet-Paris-Plage","Frankreich",50.519693648444,1.5869973052921,"Le Touquet-Paris-Plage, Frankreich",6.6,10,2.00715,1,1.8
"Bratislava","Slowakei",48.1516988,17.1093063,"Bratislava, Slowakei",7.2,7.85,1.11604722222222,2,0
"Zermatt","Schweiz",46.0212076,7.749254,"Zermatt, Schweiz",5.9,2.45,7.86047361111111,1,0
"Bled","Slowenien",46.3684202,14.1100595,"Bled, Slowenien",6.8,9,3.44222083333333,0,0.1
"Paris","Frankreich",48.8534951,2.3483915,"Paris, Frankreich",7.6,12.8,5.10044166666667,1,0.58
"Norwich","England",52.6303076934772,1.29532126502049,"Norwich, England",4.3,8.95,0.533919444444445,0,4
"Ipswich","England",52.0570559966874,1.15209854040659,"Ipswich, England",4.65,8.9,0.304001388888889,0,3.53
"Katowice","Polen",50.264663446807,19.0188489472198,"Katowice, Polen",6,7.05,0,1,0.9
"Torri del Benaco","Italien",45.6094493,10.6873869,"Torri del Benaco, Italien",7.8,12.15,7.98952777777778,1,0.2
"Genf","Schweiz",46.2017559,6.1466014,"Genf, Schweiz",4.9,10.9,5.33099027777778,1,3.4
"Sirmione","Italien",45.465106341539,10.6074284600272,"Sirmione, Italien",7.3,12.65,6.36049166666667,1,1.1
"Mailand","Italien",45.4641943,9.1896346,"Mailand, Italien",8.1,12.3,6.93835138888889,1,0.1
"Danzig","Polen",54.3706858,18.6129831,"Danzig, Polen",4.3,-0.7,0,1,0.79
"Maribor","Slowenien",46.5536194239738,15.6470952284808,"Maribor, Slowenien",7.8,8.95,6.1269125,2,0
"Ljubljana","Slowenien",46.0500268,14.5069289,"Ljubljana, Slowenien",5.7,8.4,1.15942083333333,0,2
"Annecy","Frankreich",45.8992348,6.1288847,"Annecy, Frankreich",4.9,11.1,6.46198194444444,1,5.6
"Venedig","Italien",45.4371908,12.3345898,"Venedig, Italien",4.9,10.05,0.0550888888888889,0,6.6
"Triest","Italien",45.651996855795,13.7625166166528,"Triest, Italien",4.25,11.75,0,0,5.9
"Cambridge","England",52.2039079652867,0.123678265263848,"Cambridge, England",4.65,9.65,0.645484722222222,0,4.36
"Krakau","Polen",50.0619474,19.9368564,"Krakau, Polen",6.1,6.35,0.748877777777778,1,0.1
"Skagen","Dänemark",57.7259703,10.5844602,"Skagen, Dänemark",1.45,-1.25,0,0,11.4
"London","England",51.4893335,-0.1440551,"London, England",4.45,11.65,0.65415,0,4.5
"Göteborg","Schweden",57.7072326,11.9670171,"Göteborg, Schweden",3.3,-0.45,0.7673125,0,8.6
"Brighton","England",50.8214626,-0.1400561,"Brighton, England",4.8,10.2,1.13543333333333,0,1.1
"Zakopane","Polen",49.2969114,19.9504753,"Zakopane, Polen",4.95,4,1.39601666666667,1,2.5
"Lyon","Frankreich",45.7578137,4.8320114,"Lyon, Frankreich",8.4,14.4,6.87373888888889,2,0
"Bourges","Frankreich",47.0816637770149,2.3971472645533,"Bourges, Frankreich",6.9,12.3,6.1795875,0,0.3
"Rovinj","Kroatien",45.0807411,13.6417282,"Rovinj, Kroatien",4.2,12.2,3.12364722222222,0,16.58
"Balaton","Ungarn",46.8839313,17.8476796,"Balaton, Ungarn",6.8,4.9,1.41794583333333,1,0.5
"Zagreb","Kroatien",45.8130967,15.9772795,"Zagreb, Kroatien",6.8,10.3,1.40247777777778,1,0
"Deauville","Frankreich",49.3575767556172,0.0714877491844544,"Deauville, Frankreich",8,12.75,6.28591666666667,2,0
"Warschau","Polen",52.2319581,21.0067249,"Warschau, Polen",6,1.7,0,0,1
"Hohe Tatra (Tatranská Lomnica)","Slowakei",49.13815,20.21931,"Hohe Tatra (Tatranská Lomnica), Slowakei",5.5,2.2,0,0,1.8
"Pula","Kroatien",44.8702281,13.8455311,"Pula, Kroatien",4.4,12.25,3.34407083333333,1,23.8
"Budapest","Ungarn",47.4970637896166,19.0389974414942,"Budapest, Ungarn",6.7,6.9,0,1,0.9
"Kristiansand","Norwegen",58.1471572706719,7.9950701511758,"Kristiansand, Norwegen",2.7,-3.2,0,0,6.5
"Oxford","England",51.7521094440644,-1.25943310722207,"Oxford, England",5.4,11.15,1.56067638888889,0,3.36
"Cinque Terre","Italien",44.1222144,9.7132501,"Cinque Terre, Italien",5.2,12.45,4.64764583333333,0,1.34
"Isle of Wight","England",50.6985908387884,-1.29460617388774,"Isle of Wight, England",3.25,11,4.25281805555556,0,0.9
"Le Mans","Frankreich",48.0040247155424,0.196846381986147,"Le Mans, Frankreich",5.7,11.85,1.87439861111111,0,0.8
"Clermont-Ferrand","Frankreich",45.7775124600661,3.08329535096197,"Clermont-Ferrand, Frankreich",7.7,11.25,3.63231666666667,2,0
"York","England",53.9613991992233,-1.08076703662315,"York, England",3,7,0,0,6.4
"Plitvicer Seen","Kroatien",44.8654878218141,15.5820762694377,"Plitvicer Seen, Kroatien",3.8,7.1,2.65058055555556,0,6.3
"Rimini","Italien",44.0594531009706,12.5690522641146,"Rimini, Italien",4.7,11.85,2.18131111111111,0,7.53
"Viareggio","Italien",43.8672392,10.2506055,"Viareggio, Italien",5.4,13.6,6.09267361111111,0,3.7
"Birmingham","England",52.4788842342774,-1.89786812579122,"Birmingham, England",3.4,9.65,1.62979583333333,0,7.63
"Florenz","Italien",43.7697955,11.2556404,"Florenz, Italien",5.7,13.3,4.68318472222222,0,4.7
"Bournemouth","England",50.7214920062153,-1.87307077668799,"Bournemouth, England",4.9,11.15,5.35630416666667,0,0.1
"Sanremo","Italien",43.8198253,7.7748827,"Sanremo, Italien",8.4,13.75,8.78689444444445,1,0.05
"Monaco","Monaco",43.7334413733639,7.41993669279883,"Monaco",7.8,13.65,7.92924861111111,1,0
"Bath","England",51.3780084716059,-2.35965660980024,"Bath, England",1.25,11,0.00943888888888889,0,7.7
"Klaipėda","Litauen",55.7127529,21.1350469,"Klaipėda, Litauen",4.5,-4.35,0.341151388888889,1,0.8
"Visby (Gotland)","Schweden",57.6348041245621,18.2943388532952,"Visby (Gotland), Schweden",5.6,-1.15,1.07955416666667,2,0
"Nizza","Frankreich",43.7009358,7.2683912,"Nizza, Frankreich",8.5,14,7.67949722222222,2,0
"Manchester","England",53.4794892,-2.2451148,"Manchester, England",3.9,8.45,1.06385694444444,0,7.96
"Newcastle upon Tyne","England",54.9730244812033,-1.60861921007895,"Newcastle upon Tyne, England",3.5,7,0.711815277777778,0,10.29
"Zadar","Kroatien",44.1168594,15.2353257,"Zadar, Kroatien",4.6,12.9,4.04182361111111,1,13.1
"Cannes","Frankreich",43.5515198,7.0134418,"Cannes, Frankreich",8.6,16.15,7.8848125,2,0
"Saint Helier","Jersey",49.2167,-2.13753,"Saint Helier, Jersey",7.5,11.1,6.76322777777778,0,1.95
"Avignon","Frankreich",43.9492493,4.8059012,"Avignon, Frankreich",8.1,13.9,4.48593472222222,2,0
"Saint-Malo","Frankreich",48.649518,-2.0260409,"Saint-Malo, Frankreich",7.5,12.15,7.17786666666667,0,4.5
"Liverpool","England",53.4071991,-2.99168,"Liverpool, England",2.8,7.75,0,0,10.2
"Cardiff","Wales",51.4816546,-3.1791934,"Cardiff, Wales",1.35,11.35,0,0,9.2
"Debrecen","Ungarn",47.5290944086337,21.6264905369519,"Debrecen, Ungarn",6.5,7.5,0,0,0.8
"Windermere (Lake District)","England",54.3802798094634,-2.90734459300512,"Windermere (Lake District), England",3.1,6.75,0.8588875,0,6.8
"Portoferraio (Elba)","Italien",42.8127815518848,10.3213971426561,"Portoferraio (Elba), Italien",7.5,15.05,6.55007638888889,1,3.4
