"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"05.05.2026",7.4,21.5,9.9012,8,0
"06.05.2026",5.1,17.8,8.93386388888889,7.27,6
"07.05.2026",7.2,15,11.0471138888889,3.7,0
"08.05.2026",9.4,19.3,13.6959972222222,0,0
"09.05.2026",9.4,21.4,12.3511555555556,0,0
"10.05.2026",7.8,19.3,5.97034444444444,1.1,0
"11.05.2026",8.8,23.9,13.6547055555556,0,0
"12.05.2026",8.2,23,13.5415277777778,0,2
"13.05.2026",2,18.9,5.49575833333333,6.7,14
"14.05.2026",4.2,12.6,0,37.3,0
"15.05.2026",6.8,15.9,6.07758611111111,3.8,0
