"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.02.2026",6,17.6,5.48843888888889,3.5,2
"18.02.2026",8,14.3,7.92437222222222,0,0
"19.02.2026",9,15.9,10.1058305555556,0,0
"20.02.2026",9.2,17,10.2040138888889,0,0
"21.02.2026",7.8,17.2,10.2419,0.16,0
"22.02.2026",5.8,15,5.80933888888889,10.5,0
"23.02.2026",9,16.1,10.3421416666667,0,0
"24.02.2026",8.6,15.2,10.3771916666667,0,0
"25.02.2026",9,16.9,10.4529444444444,0,0
"26.02.2026",8.8,17.3,10.4799333333333,0,0
"27.02.2026",8.8,17.1,10.5220972222222,0,0
