"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"19.01.2026",8,4.6,7.28591666666667,0,0
"20.01.2026",8,3.2,7.38089722222222,0,0
"21.01.2026",8.2,6,7.59140277777778,0,0
"22.01.2026",8.2,6.3,7.90998888888889,0,0
"23.01.2026",7.6,4.3,5.64051388888889,0,0
"24.01.2026",8.2,6,8.03141388888889,0,0
"25.01.2026",7.8,5.4,7.05227222222222,0,0
"26.01.2026",5.2,-0.3,7.58508888888889,1.5,0
"27.01.2026",6.6,1.4,7.98229444444444,1.1,0
"28.01.2026",5.2,-0.3,7.60379166666667,1.5,0
"29.01.2026",5.6,-2.4,8.28011944444444,0.7,0
