"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"28.02.2026",8.6,15.2,6.43323055555556,0,0
"01.03.2026",8.8,15.9,10,0,0
"02.03.2026",8.8,17.8,8.38196944444444,0,0
"03.03.2026",8.6,17.7,7.00965555555556,0,0
"04.03.2026",8.6,17.5,9.9731,0.2,0
"05.03.2026",5.8,16.2,0.0948888888888889,3.3,0
"06.03.2026",7.6,17.4,10.1426722222222,0.1,0
"07.03.2026",6,12.9,0.163975,1.8,0
"08.03.2026",7.4,13,4.03516388888889,0.5,0
"09.03.2026",8.6,15.8,10.7740777777778,0,0
"10.03.2026",8.4,17.2,10.8193083333333,0,0
