"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",5.8,-1,4.19735,0,0.4
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",6.6,-2.7,7.11673055555556,1,0
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",1.4,0.1,0,0,5.5
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",3.9,1.9,0.488619444444444,0,0
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",6.6,-0.7,6.39450833333333,1,0
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",6.6,-0.9,6.13079444444444,1,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",5,-1.6,3.28632777777778,0,1
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",6.6,-0.1,7.00273611111111,1,0
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",6.6,-4.5,7.25791388888889,1,0
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",6.6,-2,7.25236944444444,1,0
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",4,-0.2,0,0,3.2
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",4.8,-0.9,0.0858555555555555,0,0.9
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",1,2.6,0,0,6.2
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",3,-2.1,0.125997222222222,0,1.5
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6,0.5,1.78593055555556,0,0.7
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",6.6,-4.2,7.11645555555556,1,0
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.6,-1.9,6.924125,1,0
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",4.4,1.6,3.80411944444444,0,3.6
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.6,-0.5,7.00251666666667,1,0
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",1.6,1.5,0,0,3.68
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.4,-0.9,6.55601388888889,0,0.1
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",2.7,0.1,0,0,2.8
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",2.3,0,0,0,5.3
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.6,-3.4,6.58262777777778,1,0
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",2,2.2,0.935294444444445,0,4.17
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.6,-3.4,6.76597777777778,1,0
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",2.4,1.5,0,0,1.68
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",1,2.5,0,0,4.92
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",1,2.5,0,0,5.99
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",1.8,1.6,0,0,3
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",6.6,-2.1,6.66491388888889,1,0
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",3.2,-0.4,0.510025,0,2.63
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.4,-1.2,6,1,0
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",1,3.5,0.431711111111111,0,7.43
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",2.9,1.6,0,0,2.73
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",1,3.7,0,0,5.13
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",1.6,2.2,0,0,5.78
