"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"27.04.2026",6.8,19.2,7.11727777777778,1.5,3
"28.04.2026",8.6,14,7.53948055555556,0,0
"29.04.2026",9.4,16.9,14.1081611111111,0,0
"30.04.2026",9.2,17.2,14.5115472222222,0,0
"01.05.2026",9.2,20.1,14.615175,0,0
"02.05.2026",8.2,19.6,6.522075,0,0
"03.05.2026",8,15.3,11.1919694444444,0,0
"04.05.2026",7.8,11.3,14.8935138888889,1.2,0
"05.05.2026",7.6,11.2,14.1108027777778,1.5,0
"06.05.2026",8.2,13.4,14.9230277777778,0.6,0
"07.05.2026",8.6,13.4,15.1781916666667,0,0
