"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",4.71428571428571,0.328571428571429,1.35059047619048,3,7.3
"Berlin","Berlin","Berlin","(BE)",4.45714285714286,-1.51428571428571,1.94441349206349,4,4.1
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",5.38571428571429,-0.114285714285714,3.17064722222222,5,2.3
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",4.94285714285714,1.88571428571429,2.04814246031746,2,10.8
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",5.22857142857143,0.485714285714286,2.73861031746032,3,6.4
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",5.65714285714286,-1.22857142857143,2.73592420634921,5,4.1
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",5.41428571428571,0.614285714285714,3.04191904761905,4,4.2
"Dresden","Sachsen","Dresden, Sachsen","(SN)",4.62857142857143,1.74285714285714,2.24154880952381,3,11.1
"München","Bayern","München, Bayern","(BY)",4.88571428571429,3.48571428571429,3.59359365079365,3,6.5
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",4.54285714285714,-1.54285714285714,2.37852658730159,4,6.8
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",5.31428571428571,0.0571428571428571,3.16612817460317,3,3.3
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",5.28571428571429,1.67142857142857,2.95025357142857,3,8.1
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",4.84285714285714,1.37142857142857,2.46101150793651,3,10.3
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",4.82857142857143,3.95714285714286,1.85520634920635,1,5.7
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",5.34285714285714,1,2.76366825396825,3,6.8
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",5,1.38571428571429,2.23602936507937,2,9.2
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",5.4,-1.67142857142857,2.62690753968254,6,5.1
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",5.17142857142857,4.7,3.85543055555556,3,6.4
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",5.25714285714286,0.942857142857143,2.74377103174603,3,6.2
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",4.52857142857143,4.05714285714286,3.11105079365079,2,16.6
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",5.11428571428571,0.0142857142857144,2.05501865079365,3,6.1
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",5.68571428571429,-0.871428571428571,2.95189166666667,5,4
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",4.22857142857143,3.52857142857143,3.11924007936508,3,15.9
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",5.71428571428571,-0.714285714285714,3.49224801587302,4,2
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",4.7,-2.17142857142857,2.97902023809524,4,3.9
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",5.85714285714286,-0.8,3.37190119047619,5,2.3
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",4.68571428571429,0.271428571428571,1.64253134920635,3,8.7
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",5.22857142857143,0.485714285714286,2.73861031746032,3,6.4
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",5.25714285714286,0.271428571428571,2.80260515873016,3,6.1
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",4.91428571428571,0.885714285714286,3.46306031746032,3,5.6
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",4,3.4,3.70642976190476,2,40.4
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",4.97142857142857,5.81428571428571,4.1157369047619,1,7.5
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",4.62857142857143,-4,3.15913214285714,4,3.1
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",4.65714285714286,-0.757142857142857,1.7156626984127,4,5.9
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",5.34285714285714,-0.314285714285714,3.02806547619048,4,6
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",5.05714285714286,-4.7,3.10458333333333,6,3.8
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",5.65714285714286,-0.657142857142857,3.42834126984127,6,2.3
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",4.31428571428571,-1.97142857142857,2.571775,3,13.2
"Lindau","Bayern","Lindau, Bayern","(BY)",4.91428571428571,5.45714285714286,3.71710079365079,3,18.9
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",4.95714285714286,5.95714285714286,2.0588246031746,2,8.6
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern","(MV)",5.62857142857143,-0.242857142857143,3.62068888888889,4,3
"Erfurt","Thüringen","Erfurt, Thüringen","(TH)",5.02857142857143,2.84285714285714,2.88995238095238,3,5.4
"Juist","Niedersachsen","Juist, Niedersachsen","(NI)",4.77142857142857,-4.78571428571429,3.10458333333333,5,3.8
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen","(NI)",4.97142857142857,-4.55714285714286,3.05014206349206,5,3.3
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein","(SH)",5.57142857142857,1.38571428571429,2.90670873015873,3,6.9
"Füssen","Bayern","Füssen, Bayern","(BY)",4.32857142857143,2.95714285714286,3.2822746031746,2,18.8
"Bremen","Bremen","Bremen","(HB)",4.98571428571429,1.02857142857143,3.57208095238095,2,6.1
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",5.25714285714286,0.614285714285714,2.69001150793651,3,6.3
"Bamberg","Bayern","Bamberg, Bayern","(BY)",4.14285714285714,3.2,2.14493055555556,2,9
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",5.31428571428571,7.58571428571429,4.07583174603175,2,15.8
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",4.62857142857143,-1.3,1.95597857142857,2,10.1
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",4.71428571428571,-0.228571428571429,2.2055623015873,2,13.1
