"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",6.68,4.62,3.44088555555556,2,1.6
"München","Deutschland :de:",5.48,4.22,3.16519611111111,2,11.7
"Hamburg","Deutschland :de:",6.16,4.02,3.35847111111111,2,11.4
"Köln","Deutschland :de:",5.06,5.56,3.71007333333333,1,7.4
"Dresden","Deutschland :de:",6,5.04,2.83126277777778,2,5.8
"Leipzig","Deutschland :de:",5.84,4.54,2.23530388888889,2,4.8
"Frankfurt am Main","Deutschland :de:",6.36,5.44,4.58487166666667,2,4.4
"Freiburg im Breisgau","Deutschland :de:",5.84,5.12,5.13858611111111,2,19.5
"Berchtesgaden","Deutschland :de:",4.44,3.2,3.15198611111111,2,24.3
"Garmisch-Partenkirchen","Deutschland :de:",3.84,3.28,3.19411166666667,2,31.9
"Binz (Rügen)","Deutschland :de:",6.56,4.8,3.551975,2,5.8
"Heringsdorf (Usedom)","Deutschland :de:",6.6,4.66,3.19525722222222,1,3.7
"Westerland (Sylt)","Deutschland :de:",4.6,6.48,3.36447111111111,1,20.2
"Wernigerode (Harz)","Deutschland :de:",4.7,3.74,4.71342611111111,2,4.2
"Cochem (Mosel)","Deutschland :de:",4.96,5.26,3.79551722222222,1,12.9
"Kempten (Allgäu)","Deutschland :de:",4.7,3.08,3.52716055555556,2,18.3
"Nürnberg","Deutschland :de:",6.18,4.86,3.14084944444444,2,3.2
"Münster","Deutschland :de:",5.92,5.18,4.75485611111111,1,4.5
"Stuttgart","Deutschland :de:",6.38,5.92,3.97770333333333,2,3.5
"Norderney","Deutschland :de:",4.06,7.42,3.72333388888889,0,19.8
"Erfurt","Deutschland :de:",6.64,4.12,3.63563611111111,3,2.4
"Bremen","Deutschland :de:",6.52,5.1,4.19962833333333,2,8.6
"Timmendorfer Strand","Deutschland :de:",6.44,3.94,3.57134722222222,2,11.6
"Karlsbad","Tschechien :cz:",6.36,2.98,2.67234,2,5.8
"Enschede","Niederlande :nl:",6.08,5.56,4.98245944444445,1,5.2
"Pilsen","Tschechien :cz:",6.56,4.04,3.09331833333333,2,3.5
"Maastricht","Niederlande :nl:",4.94,5.54,3.69756888888889,1,10
"Giethoorn","Niederlande :nl:",5.56,5.8,4.48708222222222,1,11.8
"Groningen","Niederlande :nl:",4.6,5.68,3.52495611111111,2,15.8
"Eindhoven","Niederlande :nl:",5.64,6.14,4.34078166666667,2,3.7
"Prag","Tschechien :cz:",6.38,4.76,4.16088166666667,2,7.1
"Luxemburg","Luxemburg :lu:",5.84,4.4,2.43887833333333,2,4.6
"Straßburg","Frankreich :fr:",6,6.42,5.03340277777778,2,7.1
"Amsterdam","Niederlande :nl:",5.56,6.98,5.59638333333333,0,18.5
"Dinant","Belgien :be:",4.96,4.98,1.50701388888889,2,11.1
"Rotterdam","Niederlande :nl:",5.4,7.04,4.26363722222222,1,11.3
"Antwerpen","Belgien :be:",5.68,6.5,5.15824555555556,1,3.2
"Zandvoort","Niederlande :nl:",4.58,8.24,4.22081277777778,1,20
"Český Krumlov","Tschechien :cz:",6.28,3.7,2.94376944444444,2,4.8
"Terschelling","Niederlande :nl:",4.2,8.02,4.66464222222222,0,16.5
"Noordwijk","Niederlande :nl:",4.54,7.78,4.22489611111111,1,18.1
"Bergen aan Zee","Niederlande :nl:",4.54,8.06,4.27675333333333,0,16.8
"Nancy","Frankreich :fr:",5.96,5.64,4.51458722222222,2,9.9
"Brüssel","Belgien :be:",5.68,6.16,5.51816722222222,1,5.7
"Texel","Niederlande :nl:",4.9,7.9,5.21336166666667,0,19.5
"Scheveningen","Niederlande :nl:",4.58,8.02,3.49089,1,14.3
"Fåborg","Dänemark :dk:",5.52,4.36,2.70668611111111,2,12.8
"Salzburg","Österreich :at:",5.08,4.56,3.14540611111111,2,23.8
"Renesse","Niederlande :nl:",4.82,7.68,4.24707722222222,1,16.7
"Linz","Österreich :at:",5.68,4.54,2.96500166666667,2,6.8
"Zürich","Schweiz :ch:",5.98,5.14,4.70682666666667,2,13.6
"Basel","Schweiz :ch:",5.8,5.64,5.09589388888889,2,13.5
"Innsbruck","Österreich :at:",4.92,4.18,3.2,2,12.3
"Domburg","Niederlande :nl:",3.9,7.48,4.29615444444444,1,13.4
"Breslau","Polen :pl:",6.34,5.52,3.42056444444444,2,6.7
"Køge","Dänemark :dk:",5.92,4.36,4.31140166666667,2,6.7
"Posen","Polen :pl:",7.24,4.38,3.46386055555556,4,0.7
"Zell am See","Österreich :at:",3.76,2.06,3.17113166666667,2,21.7
"Brügge","Belgien :be:",3.94,6.68,4.72280722222222,0,14.7
"Hallstatt","Österreich :at:",4.08,4.62,3.62579666666667,2,22.7
"Luzern","Schweiz :ch:",4.94,5.08,4.55575277777778,2,16.9
"De Haan","Belgien :be:",3.72,7.42,3.98886888888889,0,26.6
