"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.03.2026",8,10.2,4.25918611111111,0,0
"18.03.2026",8.8,12.6,10.9069833333333,0,0
"19.03.2026",8.6,13.9,9.66812777777778,0,0
"20.03.2026",8,9.9,5.46526388888889,0,0
"21.03.2026",8.6,11,8.45803611111111,0,0
"22.03.2026",8.8,13.9,11.0300388888889,0,0
"23.03.2026",9,16,11.0620055555556,0,0
"24.03.2026",8.2,12.9,10.6018472222222,0,0
"25.03.2026",8.2,14.6,10.7767888888889,0,0
"26.03.2026",8.6,16.5,11.1740833333333,0,0
"27.03.2026",8.8,16.5,11.3584055555556,0,0
