"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",5.2,12.0333333333333,1.07934444444444,0,10.5
"München","Deutschland :de:",6.86666666666667,12.3,3.97279907407407,2,3.7
"Hamburg","Deutschland :de:",5.2,11.9333333333333,2.25063333333333,0,6.2
"Köln","Deutschland :de:",4.86666666666667,13.8,0.462105555555556,0,1.3
"Dresden","Deutschland :de:",6.4,13.5666666666667,2.33413703703704,0,3.3
"Leipzig","Deutschland :de:",6.26666666666667,12.6333333333333,1.38288425925926,0,4.7
"Frankfurt am Main","Deutschland :de:",6.13333333333333,11.1666666666667,0.00301851851851852,1,5.5
"Freiburg im Breisgau","Deutschland :de:",7.33333333333333,13.9666666666667,4.0295212962963,1,4
"Berchtesgaden","Deutschland :de:",6.36666666666667,11.7,4.68994907407407,2,5.5
"Garmisch-Partenkirchen","Deutschland :de:",7.6,11.4333333333333,5.02903240740741,2,0
"Binz (Rügen)","Deutschland :de:",5.66666666666667,10,1.36851388888889,1,1.3
"Heringsdorf (Usedom)","Deutschland :de:",5.93333333333333,10.5,2.04614166666667,1,1.7
"Westerland (Sylt)","Deutschland :de:",5,10.4666666666667,2.598925,1,15.83
"Wernigerode (Harz)","Deutschland :de:",5.73333333333333,13,1.24287222222222,1,6.9
"Cochem (Mosel)","Deutschland :de:",6.33333333333333,13.4,1.00132592592593,2,2.33
"Kempten (Allgäu)","Deutschland :de:",6.66666666666667,11.0666666666667,3.34307777777778,1,1.6
"Nürnberg","Deutschland :de:",6.33333333333333,11.9333333333333,2.32108888888889,0,4.06
"Münster","Deutschland :de:",5.26666666666667,13.6666666666667,2.03082592592593,2,4.6
"Stuttgart","Deutschland :de:",7.13333333333333,12.7666666666667,3.18250833333333,1,2.2
"Norderney","Deutschland :de:",5.2,11.1333333333333,3.86929166666667,1,14.8
"Erfurt","Deutschland :de:",6.73333333333333,12.4333333333333,1.11767407407407,1,1.9
"Bremen","Deutschland :de:",4.9,12.4666666666667,1.72553055555556,1,7.8
"Timmendorfer Strand","Deutschland :de:",5.4,11.4333333333333,2.39168055555556,1,3.3
"Karlsbad","Tschechien :cz:",6.13333333333333,10.7333333333333,2.24085092592593,0,4.4
"Enschede","Niederlande :nl:",5.26666666666667,14.0333333333333,2.42074722222222,1,6.8
"Pilsen","Tschechien :cz:",6.46666666666667,11.4666666666667,2.28971574074074,0,2.8
"Maastricht","Niederlande :nl:",5.93333333333333,14.1666666666667,0.567583333333333,1,1.3
"Giethoorn","Niederlande :nl:",5.33333333333333,14.1333333333333,3.02291296296296,0,12.2
"Groningen","Niederlande :nl:",5.33333333333333,14.0666666666667,2.8269712962963,1,15
"Eindhoven","Niederlande :nl:",5.03333333333333,14.3,1.90347314814815,1,4.1
"Prag","Tschechien :cz:",6.4,12.3333333333333,2.38859444444444,1,2.66
"Luxemburg","Luxemburg :lu:",6.53333333333333,12.2666666666667,1.59730833333333,1,1.63
"Straßburg","Frankreich :fr:",7.2,12.7333333333333,3.41147314814815,1,2
"Amsterdam","Niederlande :nl:",5.33333333333333,14.3333333333333,2.42382685185185,2,12.9
"Dinant","Belgien :be:",5.56666666666667,13.8,0.0333333333333333,0,2.05
"Rotterdam","Niederlande :nl:",4.93333333333333,14.2,2.43670648148148,1,8.6
"Antwerpen","Belgien :be:",4.96666666666667,14.2333333333333,1.65637407407407,0,3.4
"Zandvoort","Niederlande :nl:",4.6,12.5666666666667,2.62030185185185,0,13.58
"Český Krumlov","Tschechien :cz:",6.53333333333333,11.7,2.35359814814815,1,2.9
"Terschelling","Niederlande :nl:",5.33333333333333,11.7333333333333,3.91879907407407,1,15
"Noordwijk","Niederlande :nl:",4.86666666666667,13.8333333333333,2.64801203703704,0,12.45
"Bergen aan Zee","Niederlande :nl:",5.13333333333333,13.0333333333333,2.66648148148148,1,17.38
"Nancy","Frankreich :fr:",6.26666666666667,12.1666666666667,0.972658333333333,1,3.5
"Brüssel","Belgien :be:",5.06666666666667,14.2666666666667,0.758963888888889,0,3.6
