"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"31.01.2026",9.2,18.5,9.08647222222222,0,0
"01.02.2026",7.6,18.4,7.32871666666667,1.6,0
"02.02.2026",8.6,17.6,9.06928611111111,0,0
"03.02.2026",9,17.2,9.52513611111111,0,0
"04.02.2026",9.2,19.1,9.54728611111111,0,0
"05.02.2026",8.4,18.6,7.72895277777778,0.1,0
"06.02.2026",8.2,19.9,9.00826944444444,0,0
"07.02.2026",8.4,19.8,9.61165833333333,0,0
"08.02.2026",7.6,18.8,9.09070277777778,2,0
"09.02.2026",8,17.9,9.73520833333333,1.2,0
"10.02.2026",8.8,18,9.67056666666667,0,0
