"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"20.12.2025",8.6,16,7.98226388888889,0,0
"21.12.2025",3.7,13.4,0,1.9,6
"22.12.2025",8.6,13.2,8.61895833333333,0,0
"23.12.2025",6.6,15.7,3.79394166666667,7.2,0
"24.12.2025",8.8,16.4,8.67474722222222,0,0
"25.12.2025",8.8,16.5,8.67657777777778,0,0
"26.12.2025",8.6,16.2,8.68491111111111,0,0
"27.12.2025",7.6,13.5,8.67221666666667,0.3,0
"28.12.2025",6.8,11.7,2.38739722222222,0.7,0
"29.12.2025",6,11.5,0.696661111111111,1.6,0
"30.12.2025",6.4,15.3,6.82638888888889,5.1,0
