"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.02.2026",1,4.8,0,14.8,13
"02.02.2026",6.8,1.9,0.52315,0,0
"03.02.2026",6.6,0.8,0,0,0
"04.02.2026",6.6,2.6,0,0,0
"05.02.2026",5.2,3.9,0,3,0
"06.02.2026",5.8,8.9,0.543352777777778,2.4,0
"07.02.2026",8,16.2,8.73601111111111,0.5,0
"08.02.2026",7.6,9.8,5.43114444444444,0.7,0
"09.02.2026",7.6,13.4,9.28128611111111,0,0
"10.02.2026",8,10.9,8.50302777777778,0,0
"11.02.2026",7.2,15.5,9.11718055555555,0.6,0
