"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"03.03.2026",1,-3.3,0,8.4,9
"04.03.2026",6,-2.5,3.75205277777778,0.2,0
"05.03.2026",6.6,-1.8,6.00795555555556,0,0
"06.03.2026",5.8,3.6,0.586422222222222,0.8,0
"07.03.2026",6.4,3.4,2.26501944444444,0.7,0
"08.03.2026",7.6,4.3,9.02994166666667,0,0
"09.03.2026",7.8,2.4,7.85970555555556,0,0
"10.03.2026",7.6,3,8.17418055555556,0,0
"11.03.2026",7.8,0.2,9.35748333333333,0,0
"12.03.2026",5.8,-3.2,2.28394444444444,0,0
"13.03.2026",5.4,-6.5,8.08748611111111,0,0
