"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.04.2026",7.4,13.8,2.44618333333333,0,0
"13.04.2026",9.6,22.4,11.2432861111111,0,0
"14.04.2026",5.4,13,0,3.5,0
"15.04.2026",8.6,17.7,9.95777222222222,0,0
"16.04.2026",9.2,19.1,11.11545,0,0
"17.04.2026",9.4,18.9,13.0736305555556,0,0
"18.04.2026",9.4,19.7,13.2274777777778,0,0
"19.04.2026",8.6,16.9,12.3261472222222,0,0
"20.04.2026",8.4,15.6,13.7914694444444,0,0
"21.04.2026",7.2,9.2,1.95470833333333,0,0
"22.04.2026",8.2,13.8,11.7572277777778,0,0
