"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.12.2025",7.2,4.8,2.94634166666667,0,0
"24.12.2025",7.4,3.2,3.51946944444444,0,0
"25.12.2025",7.6,2.6,3.19149444444444,0,0
"26.12.2025",7.8,3.2,4.34681666666667,0,0
"27.12.2025",7.8,5.1,3.98668333333333,0,0
"28.12.2025",7.6,3.5,5.55705277777778,0,0
"29.12.2025",7.6,2.7,5.45595,0,0
"30.12.2025",7.6,4.8,5.65429166666667,0,0
"31.12.2025",6.6,2.5,5.48784166666667,1.2,0
"01.01.2026",7.2,1.3,5.70473888888889,0,0
"02.01.2026",6.8,0.6,5.67139166666667,0,0
