"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",7.28571428571429,9.45714285714286,6.69595198412698,3,8.1
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",5.94285714285714,7.65714285714286,4.95265198412698,2,11.66
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",7.65714285714286,8.71428571428571,10.0046388888889,5,9.7
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",5.85714285714286,9.71428571428571,6.78464166666667,0,17.5
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",6.51428571428572,8.1,6.29647261904762,0,8.5
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.25714285714286,9.28571428571428,7.47209523809524,2,5.76
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",7.34285714285714,11.4857142857143,7.86105079365079,5,7.86
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7,10.3285714285714,6.17421468253968,3,6.45
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",4.51428571428571,6.52857142857143,3.97401944444444,0,34
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",5.74285714285714,6.54285714285714,6.53275634920635,2,22.9
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7.77142857142857,7.54285714285714,10.4309650793651,3,4.8
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",7.65714285714286,7.98571428571429,9.30808650793651,2,7
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",7.31428571428571,6.18571428571429,10.388646031746,3,2.6
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.62857142857143,7.37142857142857,6.72276825396825,2,14.86
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6.31428571428571,9.91428571428571,5.54484761904762,4,10.4
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",6.02857142857143,7.14285714285714,5.99866626984127,2,12.5
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.82857142857143,9.18571428571429,5.27919880952381,1,6.56
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",6.05714285714286,9.71428571428572,6.7943753968254,1,12.5
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.57142857142857,9.94285714285714,6.3477119047619,3,9.15
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",6.9,7.25714285714286,10.242471031746,1,4.5
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.94285714285714,8.87142857142857,7.10411150793651,3,15.04
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",7.62857142857143,9.12857142857143,9.36940476190476,4,6.6
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",7.94285714285714,8.75714285714286,11.0528202380952,5,3.3
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.67142857142857,6.75714285714286,6.89411904761905,1,5.8
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",6.58571428571429,10.9,7.75940793650794,1,8.4
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",7.25714285714286,8.48571428571429,7.26359325396825,1,5.16
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",5.88571428571429,10.1,6.31724087301587,1,18.5
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",7.14285714285714,9.9,9.87765119047619,1,6.4
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",6.77142857142857,8.97142857142857,9.79479444444444,1,12.7
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",6.72857142857143,10.2857142857143,7.98868888888889,1,13.7
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",7.51428571428571,8.94285714285714,9.26543134920635,1,7.36
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",6.2,8.24285714285714,5.68763849206349,3,16.8
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.8,11.6714285714286,6.77405912698413,4,6.35
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",7.4,10.1714285714286,10.406821031746,2,5.8
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",5.94285714285714,9.37142857142857,5.40523412698413,1,16.8
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",7.31428571428571,10.3285714285714,9.73818373015873,1,6.1
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",6.94285714285714,10.4,8.15321626984127,0,12.3
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",7.37142857142857,8.68571428571429,10.6187138888889,3,2.1
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",6.94285714285714,7.01428571428571,7.4161746031746,3,7.4
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",7.65714285714286,8.08571428571429,10.8543888888889,2,3.1
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",7.22857142857143,9.51428571428571,10.5020650793651,1,5.5
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",7.31428571428571,9.3,10.7332119047619,1,7.2
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.84285714285714,10.7714285714286,6.79025714285714,5,5.55
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",6.24285714285714,9.7,6.85343650793651,0,11.3
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",7.42857142857143,8.82857142857143,10.9232817460317,0,7.4
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",7.14285714285714,9.6,10.3237408730159,0,7.9
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",6.9,8.45714285714286,9.43050436507936,3,5.3
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",4.82857142857143,7.71428571428571,5.06625436507937,0,32.5
