"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"06.05.2026",7.4,12,1.53850277777778,0,0
"07.05.2026",9,13.8,11.4864027777778,0,0
"08.05.2026",9,13.5,14,0,0
"09.05.2026",9.2,15.2,14.7727277777778,0,0
"10.05.2026",9.2,17.9,14.6074055555556,0,0
"11.05.2026",7.8,19.1,10.5564305555556,2.6,0
"12.05.2026",7.8,21.4,12.8925333333333,8.1,0
"13.05.2026",6.6,11.9,14.8305444444444,8,0
"14.05.2026",7.2,12.9,15.6186388888889,2.4,0
"15.05.2026",7.6,11.8,12.0284111111111,0.2,0
"16.05.2026",7.4,11.9,15.79425,0.6,0
