"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.12.2025",8,1.2,6.59587777777778,0,0
"26.12.2025",8,2.7,6.58385,0,0
"27.12.2025",8,3.5,6.61380277777778,0,0
"28.12.2025",8,2.2,6.87776666666667,0,0
"29.12.2025",7.8,1.5,6.89168333333333,0,0
"30.12.2025",6.4,0.3,3.04696111111111,1.2,0
"31.12.2025",5,-0.6,5.62801388888889,0.5,0
"01.01.2026",6,-0.8,6.76683888888889,0.3,0
"02.01.2026",5.6,-0.5,6.71134166666667,0.4,0
"03.01.2026",5.8,-1.7,6.88242222222222,0,0
"04.01.2026",2.9,-1.2,5.004625,1.2,6
