"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"28.12.2025",7.8,4,5.95118888888889,0,0
"29.12.2025",6.4,-0.4,3.30468055555556,0,0
"30.12.2025",8,2.1,6.70036944444445,0,0
"31.12.2025",4,3.5,0.0695972222222222,1.8,5
"01.01.2026",6.2,2.5,0.703616666666667,0,0
"02.01.2026",1.8,2.8,4.67305,0.6,14
"03.01.2026",6,2.3,3.75496944444444,0.9,0
"04.01.2026",6.8,1.1,6.85686388888889,0.8,0
"05.01.2026",7.4,1.2,6.58125833333333,0,0
"06.01.2026",7.4,1.7,5.99905,0.2,0
"07.01.2026",7.2,1.5,6.88291666666667,0,0
