"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",8,11.7,8.0682712962963,3,2.3
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",7.11666666666667,10.3166666666667,8.33942638888889,4,4.6
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",7.53333333333333,10.4333333333333,7.17053240740741,4,10.3
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",7.91666666666667,13.7166666666667,9.69714259259259,4,4.8
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.96666666666667,12.2,8.84557361111111,3,5.5
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",8.03333333333333,11.4333333333333,8.65061851851852,5,3.9
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",8.33333333333333,12.9333333333333,8.97407361111111,6,0
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",8.36666666666667,13.15,9.71499722222222,5,0.2
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",6.46666666666667,9.35,7.34340509259259,4,11.4
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",6.36666666666667,9.36666666666667,7.97409166666667,4,13.1
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",7.56666666666667,8.53333333333333,6.88305462962963,4,5.4
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",7.96666666666667,8.9,8.09145972222222,5,3.6
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",7.33333333333333,6.1,5.93224490740741,4,2.3
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",7.36666666666667,9.26666666666667,7.2083912037037,3,11.6
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",8.4,13.3666666666667,10.5800861111111,4,1.8
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",6.76666666666667,9.51666666666667,7.87605509259259,4,4.3
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",8.36666666666667,11.8166666666667,10.0181601851852,6,0
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7.9,12.7,8.24627731481482,4,2.6
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",7.56666666666667,12.7166666666667,9.33488518518518,5,0.2
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",7.18333333333333,7.35,8.68979814814815,4,1.9
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",8.06666666666667,11.2666666666667,8.87949907407407,4,1.1
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",7.43333333333333,10.8833333333333,6.45690185185185,3,9.96
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",7.5,9.41666666666667,6.39273657407407,4,6.7
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",7.53333333333333,10.3166666666667,9.70588287037037,4,2
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",7.61666666666667,12.6166666666667,7.8608162037037,4,3.1
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",8.13333333333333,11.0833333333333,9.75156342592592,3,1.3
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",7.76666666666667,13.0333333333333,10.044162962963,4,2.6
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",7.61666666666667,12.5,8.98005092592593,4,1.9
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",7.26666666666667,12.0833333333333,8.67768287037037,4,3.2
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",7.36666666666667,13.1166666666667,7.82218611111111,4,11.2
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",8,11.55,9.68152453703704,2,2.1
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",8.2,12.3,10.4240032407407,4,1.4
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",7.63333333333333,13.5833333333333,9.13337037037037,5,0.1
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",7.13333333333333,12.1,7.07286851851852,4,8.7
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",7.91666666666667,13.6666666666667,10.0314921296296,4,2
