"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.03.2026",7.2,13.4,2.69414722222222,1.5,0
"24.03.2026",9,16.4,11.4299027777778,0.2,0
"25.03.2026",9.2,16.8,11.477425,0,0
"26.03.2026",1,12.4,3.10684166666667,17.8,15
"27.03.2026",2,14.3,8.24111388888889,7.45,15
"28.03.2026",5.3,15.7,11.241025,1.2,6
"29.03.2026",8,19,5.40896388888889,0,0
"30.03.2026",8.8,16.5,11.7034888888889,0,0
"31.03.2026",8.6,14.4,11.71375,0,0
"01.04.2026",8,12.7,10.9891694444444,1,0
"02.04.2026",8.2,12.5,11.8555,0,0
