"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.04.2026",8.4,17.7,5.32734722222222,0,0
"18.04.2026",7.2,15.3,3.23781944444444,0.7,0
"19.04.2026",7.6,9.7,6.23357777777778,0.8,0
"20.04.2026",6.6,10.4,5.75434722222222,0.6,0
"21.04.2026",8.6,11.3,14.232325,0.2,0
"22.04.2026",8.8,14.3,13.059425,0,0
"23.04.2026",8.8,13.5,12.0751555555556,0,0
"24.04.2026",8.4,12,14.4348277777778,0,0
"25.04.2026",8.2,9.1,14.5013361111111,0,0
"26.04.2026",8.4,9.3,14.5673666666667,0,0
"27.04.2026",8.4,12.9,14.6328555555556,0,0
