"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"30.12.2025",8.6,9.9,8.03190555555556,0,0
"31.12.2025",8,7.7,7.71920277777778,0,0
"01.01.2026",7.6,7.3,7.74890277777778,0,0
"02.01.2026",7,9.9,5.89521666666667,0.5,0
"03.01.2026",1.2,11.5,3.7109,5.5,14
"04.01.2026",2.2,7.6,3.93874722222222,0,12
"05.01.2026",7.8,5.6,8.47028888888889,0,0
"06.01.2026",8,6.6,8.45868888888889,0,0
"07.01.2026",8.2,6.6,8.47684444444444,0,0
"08.01.2026",8.2,8.2,8.495725,0,0
"09.01.2026",8.2,10.9,8.45527222222222,0,0
