"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",6.6,1.9,6.34642222222222,0,0.1
"Berlin","Berlin","Berlin","(BE)",5.8,1.9,0.166852777777778,0,0.3
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",6.6,2.5,3.27093333333333,0,0.1
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",2.6,5,6.14489444444444,0,0
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",6.8,2.2,4.53616944444444,1,0
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",6,5.9,6.345475,0,2.3
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",6.6,2.2,2.57375277777778,1,0
"Dresden","Sachsen","Dresden, Sachsen","(SN)",6.6,2.2,5.28955,0,0.8
"München","Bayern","München, Bayern","(BY)",6.2,3.6,6.39450555555556,0,2
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",5.6,5.8,2.00982777777778,0,1.8
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",6.6,2.2,4.88544722222222,0,0.7
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",4.5,4.8,6.18422222222222,0,0.4
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",6.6,2.3,4.75163888888889,0,1.2
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",7.2,3.4,6.90309722222222,1,0
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",6.8,2.8,3.00955555555556,1,0
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",2.4,4.9,6.14865,0,0
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",6.2,5.9,6.40415,0,2.6
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",6.2,7,5.74446388888889,0,1.5
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",6.6,2.6,3.06500555555556,1,0
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",6,3.7,7.19283055555556,0,2.4
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",6.8,1.9,4.57768888888889,1,0
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",6,1.5,1.92220555555556,0,0.3
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",5.4,2.2,4.37086944444444,0,3.4
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",6.4,2.6,2.81623333333333,0,0.4
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",5.4,5.7,1.53318611111111,0,2.4
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",7,1.8,4.14751944444444,1,0
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",6.2,2.2,2.16814444444444,0,0.1
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",6.8,2.2,4.53616944444444,1,0
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",6.8,2.4,4.41894722222222,1,0
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",5.6,2.2,0.302422222222222,0,0.9
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",3.3,3.5,5.91461111111111,0,6.8
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",6.6,2,5.39603611111111,0,0.4
