"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.03.2026",5,7.7,0,2.4,1
"02.03.2026",7.6,10.2,2.756775,0,0
"03.03.2026",8.4,12.5,8.41086388888889,0,0
"04.03.2026",8.6,13.2,8.43403333333333,0,0
"05.03.2026",8.6,13.7,9.05060555555556,0,0
"06.03.2026",8,14.3,10.19055,1.8,0
"07.03.2026",5,4.8,0,7.5,0
"08.03.2026",8,8.8,10.4105777777778,0,0
"09.03.2026",8.2,9.3,10.4647527777778,0,0
"10.03.2026",8.6,10.3,10.4978361111111,0,0
"11.03.2026",8.6,11.1,10.5279444444444,0,0
