"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",6.46666666666667,1.8,4.35961018518519,1,0.4
"Berlin","Berlin","Berlin","(BE)",6.4,0.7,5.24152962962963,1,0.8
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",6.53333333333333,2.06666666666667,5.53017037037037,2,1.3
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",7.13333333333333,3.76666666666667,5.67671018518519,2,0.3
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",6.73333333333333,1.7,5.36691944444444,2,0.8
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",5.13333333333333,6.76666666666667,5.38103333333333,1,1.4
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",6.66666666666667,2.26666666666667,5.59473240740741,2,0.8
"Dresden","Sachsen","Dresden, Sachsen","(SN)",4.8,0.533333333333333,3.69071666666667,0,8.3
"München","Bayern","München, Bayern","(BY)",5.06666666666667,-0.533333333333333,4.12981296296296,0,4.1
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",5.3,4.13333333333333,2.30413796296296,0,2.2
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",6.53333333333333,1,5.69523518518519,2,1.8
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",6.8,4.3,5.62656851851852,1,0.7
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",5.86666666666667,0.733333333333333,4.24931944444444,1,3.2
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6.8,3,4.67847777777778,2,0.2
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",6.53333333333333,1.9,5.29660555555556,1,0.7
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",6.73333333333333,3.3,5.62724537037037,3,0
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",5.23333333333333,6.8,3.98145648148148,1,2
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",6.46666666666667,0.1,5.82045555555556,2,2.2
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",6.53333333333333,2.1,5.42012407407407,1,0.9
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",4.86666666666667,-0.966666666666667,5.01285925925926,1,7
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",6.66666666666667,1.76666666666667,5.38179722222222,2,1
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",6.66666666666667,0.3,5.6429537037037,1,0.8
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",1.76666666666667,-0.466666666666667,4.1413712962963,0,7.4
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",6.4,1.33333333333333,5.90389351851852,2,1.5
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",5.86666666666667,4.4,2.27656851851852,0,2.8
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",6.73333333333333,1.56666666666667,5.61001574074074,2,0.8
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",6.46666666666667,1.9,4.37558888888889,1,0.6
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",6.73333333333333,1.7,5.36691944444444,2,0.8
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",6.53333333333333,1.63333333333333,5.24014444444444,0,1.3
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",5.86666666666667,2.23333333333333,4.13844444444444,1,1.2
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",3,-1.4,4.96560277777778,1,9.6
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",5.73333333333333,1.56666666666667,4.59811759259259,1,1.3
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",5.76666666666667,4.56666666666667,2.54155,1,1
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",6.46666666666667,0.866666666666667,4.8988,1,0.7
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",6.46666666666667,1.63333333333333,5.41672962962963,2,1
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",4.86666666666667,6.33333333333333,5.14675462962963,1,2.7
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",6.53333333333333,1.03333333333333,5.75774722222222,2,2.6
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",6,3.8,2.33311759259259,0,2.4
"Lindau","Bayern","Lindau, Bayern","(BY)",4.6,0.866666666666667,4.99097592592593,1,3.8
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",6.06666666666667,2.86666666666667,4.63829074074074,1,0.6
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern","(MV)",6.6,1.8,5.74220833333333,2,0.8
"Erfurt","Thüringen","Erfurt, Thüringen","(TH)",5.8,0.866666666666667,4.31831481481481,0,1.5
"Juist","Niedersachsen","Juist, Niedersachsen","(NI)",5.46666666666667,6.3,5.14675462962963,1,2.7
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen","(NI)",4.73333333333333,6.4,4.19625833333333,1,2.8
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein","(SH)",6.53333333333333,2.33333333333333,5.33378240740741,1,0.7
"Füssen","Bayern","Füssen, Bayern","(BY)",4.2,-1.83333333333333,5.66306203703704,1,5.8
"Bremen","Bremen","Bremen","(HB)",6.4,3.2,4.90798148148148,1,0.7
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",6.73333333333333,1.93333333333333,5.53828796296296,2,0.4
"Bamberg","Bayern","Bamberg, Bayern","(BY)",5.33333333333333,1.23333333333333,4.55631574074074,1,1.6
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",4.4,0.333333333333333,4.068925,1,5.4
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",6.26666666666667,3.86666666666667,2.33289166666667,1,2.1
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",5.86666666666667,3.6,2.36510462962963,1,2.1
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",6.93333333333333,2.96666666666667,5.71781296296296,2,0.8
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",5.5,1.16666666666667,4.61850925925926,0,2.5
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",4.43333333333333,3.70074341541719e-17,4.23839351851852,0,3.5
"Bremerhaven","Bremen","Bremerhaven","(HB)",6.73333333333333,3.66666666666667,5.33380185185185,1,0.9
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",5.26666666666667,0.0666666666666667,3.80313703703704,0,5.7
