"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"06.03.2026",9,16.8,9.73578055555556,0,0
"07.03.2026",9.2,18.6,8.74347777777778,0,0
"08.03.2026",8.8,17.9,9.77226111111111,0,0
"09.03.2026",9.2,17.7,10.4721444444444,0,0
"10.03.2026",9.2,18.4,10.5215444444444,0,0
"11.03.2026",8.4,14.5,7.33817222222222,0,0
"12.03.2026",8,13.5,4.38885555555556,0.2,0
"13.03.2026",7.8,10.3,8.00589166666667,0.9,0
"14.03.2026",8,10.3,10.7119416666667,0.3,0
"15.03.2026",8.4,11.5,10.8187027777778,0,0
"16.03.2026",8.4,13,10.8588277777778,0,0
