"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.12.2025",7,9.1,0,0,0
"14.12.2025",7,9,0,0.1,0
"15.12.2025",8.4,10.1,6.68863055555556,0,0
"16.12.2025",8,10.9,5.75781388888889,0,0
"17.12.2025",7,9.1,0,0,0
"18.12.2025",7,9.8,2.24641388888889,0,0
"19.12.2025",5.2,9.4,0,0,3
"20.12.2025",7,8.1,3.51431388888889,0.6,0
"21.12.2025",7.6,7.4,4.31415277777778,0,0
"22.12.2025",7.8,8.9,6.67346666666667,0,0
"23.12.2025",7.2,8.8,3.65351666666667,0.1,0
