"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.03.2026",7.2,11.7,2.1681,0.1,0
"18.03.2026",9,13.6,10.8631416666667,0,0
"19.03.2026",9,15,10.9285611111111,0,0
"20.03.2026",8.4,15.5,6.51064444444444,0,0
"21.03.2026",8.8,14.6,10.7553777777778,0,0
"22.03.2026",8.6,14.6,11.0312694444444,0,0
"23.03.2026",8.6,13.7,11.1358666666667,0,0
"24.03.2026",7.6,13.5,9.60143333333333,0.2,0
"25.03.2026",5.8,8.4,3.020975,3.8,0
"26.03.2026",5.8,8.6,0.925302777777778,1.6,0
"27.03.2026",7.4,11,6.00105555555556,1.1,0
