"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.03.2026",6.4,10.4,8.49235277777778,1,3
"18.03.2026",9,16.2,10.4674166666667,0,0
"19.03.2026",9,14.2,10.5202277777778,0,0
"20.03.2026",8.8,14,10.7503583333333,0,0
"21.03.2026",8.8,14.7,10.5241944444444,0,0
"22.03.2026",8.8,14.4,8.96632777777778,0,0
"23.03.2026",8.8,14.4,10.6867833333333,0,0
"24.03.2026",8.8,14.9,11.3903416666667,0,0
"25.03.2026",8.6,15.8,11.4485277777778,0,0
"26.03.2026",8.8,16.5,11.3482,0,0
"27.03.2026",8.4,13.8,11.0815611111111,0,0
