"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.6,18.4333333333333,11.0005398148148,0,10.1
"München","Deutschland :de:",8,20.6,13.1468388888889,0,6.2
"Hamburg","Deutschland :de:",7,15.0666666666667,6.98545925925926,0,11.1
"Köln","Deutschland :de:",6.86666666666667,15.3666666666667,6.178725,0,9.2
"Dresden","Deutschland :de:",7.86666666666667,20,12.2530583333333,0,6.9
"Leipzig","Deutschland :de:",7.8,18.7,10.7525861111111,0,6.1
"Frankfurt am Main","Deutschland :de:",6.73333333333333,16.6666666666667,7.28283981481481,0,16.4
"Freiburg im Breisgau","Deutschland :de:",6.8,17.7333333333333,8.061025,0,12.9
"Berchtesgaden","Deutschland :de:",8.26666666666667,21.8333333333333,11.3532194444444,2,0.4
"Garmisch-Partenkirchen","Deutschland :de:",4.76666666666667,19.1333333333333,9.98712962962963,0,13.6
"Binz (Rügen)","Deutschland :de:",7.26666666666667,12.6333333333333,9.32406481481481,1,12.5
"Heringsdorf (Usedom)","Deutschland :de:",8,15.1666666666667,11.3730648148148,1,5.5
"Westerland (Sylt)","Deutschland :de:",8.2,9.03333333333333,13.8699157407407,1,0.9
"Wernigerode (Harz)","Deutschland :de:",7.13333333333333,15.3,8.61515092592593,1,5.4
"Cochem (Mosel)","Deutschland :de:",7,17.6333333333333,6.47603981481481,0,7.4
"Kempten (Allgäu)","Deutschland :de:",7,18.0666666666667,12.9276592592593,0,4
"Nürnberg","Deutschland :de:",7.66666666666667,19.9333333333333,10.8878833333333,0,9.5
"Münster","Deutschland :de:",7.6,15.3666666666667,9.39578333333333,0,5.6
"Stuttgart","Deutschland :de:",6.86666666666667,17.1666666666667,8.98823611111111,1,15.7
"Norderney","Deutschland :de:",8.46666666666667,9.4,13.600662962963,3,0
"Erfurt","Deutschland :de:",7,16.9,9.10002314814815,0,14.5
"Bremen","Deutschland :de:",7.2,14.7,7.61452222222222,0,11.9
"Timmendorfer Strand","Deutschland :de:",7.2,13.7666666666667,8.79615,0,7.8
"Karlsbad","Tschechien :cz:",7.4,18.7,12.5767342592593,0,5.1
"Enschede","Niederlande :nl:",7.86666666666667,15.3333333333333,9.82242962962963,1,3.5
"Pilsen","Tschechien :cz:",8.6,21.9666666666667,12.9946888888889,1,0.8
"Maastricht","Niederlande :nl:",6.6,14,4.48888148148148,1,9.1
"Giethoorn","Niederlande :nl:",8.6,14.3,12.09925,3,0
"Groningen","Niederlande :nl:",8.46666666666667,12.5333333333333,12.7867425925926,3,0
"Eindhoven","Niederlande :nl:",7,14.5666666666667,5.00235648148148,0,5
"Prag","Tschechien :cz:",8.46666666666667,22,14.4322074074074,0,2.7
"Luxemburg","Luxemburg :lu:",6.8,15.9666666666667,7.06924907407407,1,12.9
"Straßburg","Frankreich :fr:",5.13333333333333,17.0666666666667,5.7691962962963,1,31.1
"Amsterdam","Niederlande :nl:",8.66666666666667,13.7333333333333,14.7633944444444,2,0.6
"Dinant","Belgien :be:",6.53333333333333,13.6333333333333,4.04026203703704,1,10.6
"Rotterdam","Niederlande :nl:",8.53333333333333,14.1666666666667,14.1264851851852,2,1.2
"Antwerpen","Belgien :be:",7.53333333333333,14.3333333333333,6.88963148148148,1,2.8
"Zandvoort","Niederlande :nl:",8.6,11.5,14.8798092592593,3,0
"Český Krumlov","Tschechien :cz:",7.86666666666667,20.5666666666667,13.268737037037,0,4.7
"Terschelling","Niederlande :nl:",8.6,9.3,15.0351296296296,3,0
"Noordwijk","Niederlande :nl:",8.73333333333333,12.9333333333333,14.7828935185185,3,0
"Bergen aan Zee","Niederlande :nl:",8.53333333333333,12.7,14.9538694444444,2,1.2
"Nancy","Frankreich :fr:",6.4,16.1666666666667,3.74440185185185,1,13.8
"Brüssel","Belgien :be:",6.93333333333333,13.5666666666667,4.9326287037037,1,4.8
"Texel","Niederlande :nl:",8.66666666666667,10.8333333333333,14.9841814814815,3,0
"Scheveningen","Niederlande :nl:",8.73333333333333,12.7,14.6422453703704,3,0
"Fåborg","Dänemark :dk:",7.86666666666667,11.7333333333333,12.7973166666667,1,5.5
"Salzburg","Österreich :at:",8.26666666666667,22.4333333333333,11.4971833333333,2,0.8
"Renesse","Niederlande :nl:",8.6,12.3,14.138575,3,0
"Linz","Österreich :at:",8.8,24.1333333333333,12.6772268518519,2,0.6
"Zürich","Schweiz :ch:",7.03333333333333,18.5,12.8844527777778,0,5.5
"Basel","Schweiz :ch:",5.2,17.6,7.37992407407407,1,10.9
"Innsbruck","Österreich :at:",6.63333333333333,19.4,11.2113194444444,1,6.8
"Domburg","Niederlande :nl:",8.6,12.6333333333333,13.4622953703704,3,0
"Breslau","Polen :pl:",8.8,22.1666666666667,14.5066453703704,1,1.8
"Køge","Dänemark :dk:",8,11.8333333333333,12.0667462962963,2,5.4
"Posen","Polen :pl:",8.86666666666667,20.6666666666667,13.1412759259259,1,2.5
"Zell am See","Österreich :at:",6.9,18.6666666666667,12.6304101851852,1,1.4
"Brügge","Belgien :be:",8.06666666666667,13.3,9.96404074074074,0,1.4
"Hallstatt","Österreich :at:",6.03333333333333,20.6333333333333,10.6535277777778,0,1
"Luzern","Schweiz :ch:",5,18.0666666666667,11.7531388888889,0,8.6
"De Haan","Belgien :be:",8.53333333333333,12.0333333333333,12.981762037037,3,0
"Ostende","Belgien :be:",8.4,12.3,13.1350074074074,2,0.6
"Kopenhagen","Dänemark :dk:",8,11.3333333333333,11.5651398148148,2,4.6
"Malmö","Schweden :se:",8,11,11.6093759259259,2,6
"Brünn","Tschechien :cz:",8.8,22.8333333333333,13.8474490740741,2,2.4
"Meran","Italien :it:",4.5,17.7333333333333,8.10175277777778,0,14.7
"Bern","Schweiz :ch:",7,16.7333333333333,7.841875,0,6.4
"Bornholm","Dänemark :dk:",8.2,12.3,12.072312962963,2,2.6
"Aarhus","Dänemark :dk:",8,11.7,12.6735083333333,2,5.2
"St. Moritz","Schweiz :ch:",4.93333333333333,7.43333333333333,7.13321944444444,0,7.9
"Hvide Sande","Dänemark :dk:",8.2,10.5,14.2339574074074,2,0.6
"Interlaken","Schweiz :ch:",5.4,17.7,7.95028240740741,0,4.3
