"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",4.7375,4.35,5.36033784722222,4,13.36
"Berlin","Berlin","Berlin","(BE)",4.6625,4.25,4.53569791666667,4,8.86
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",5.875,2.875,7.19655694444444,3,6.31
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",6.1625,2.825,6.20051631944444,4,8.7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",5.325,3.3875,6.48297465277778,3,11.35
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",5.8125,3.4875,3.63246909722222,4,7.4
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",5.8,2.5875,7.18511388888889,2,7.73
"Dresden","Sachsen","Dresden, Sachsen","(SN)",4.475,5.9125,3.94537916666667,3,12.81
"München","Bayern","München, Bayern","(BY)",4.3125,6.1,4.86249097222222,3,20.6
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",4.5875,8.25,3.14015034722222,0,23.35
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",6.3,1.875,6.10314201388889,5,8.24
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",5.325,3.8375,5.90525590277778,4,11.5
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",5.15,6.15,3.81113645833333,3,7.3
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",6.2625,7.85,4.85323611111111,3,6.1
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",5.95,2.975,6.83501041666667,3,10.09
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",5.8,2.5875,6.185171875,4,12.4
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",6.1,3.85,3.85230833333333,4,9.6
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",5.3375,7.1875,4.91776979166667,4,29.96
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",5.775,3.0625,6.94572847222222,3,9.72
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",3.65,6.1375,4.78240451388889,1,37.89
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",4.95,3.45,5.41336319444444,4,11.4
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",5.275,2.925,6.80235277777778,4,7.5
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",3.6,5.45,3.649103125,2,52.35
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",5.825,2.35,5.98193055555556,3,4.3
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",4.425,7.75,2.80954305555556,1,20.42
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",5.5875,2.9625,6.96264270833333,4,6.18
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",5.45,4.4625,5.31717951388889,4,11.9
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",5.325,3.3375,6.39346423611111,3,11.38
