"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.04.2026",6.2,11.1,0,0,1
"14.04.2026",7,11.5,0,0,0
"15.04.2026",9.2,15.7,12.1521611111111,0,0
"16.04.2026",9.2,18.6,11.7329972222222,0,0
"17.04.2026",9.6,20.9,12.6830777777778,0,0
"18.04.2026",9.6,21.8,13.0777944444444,0,0
"19.04.2026",7.6,19.5,10.4868388888889,3.3,0
"20.04.2026",8.4,13.3,13.5077111111111,0,0
"21.04.2026",8.4,14,13.5390944444444,0,0
"22.04.2026",8,11.5,13.5702388888889,0,0
"23.04.2026",8.2,14.1,13.6011166666667,0,0
