"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",4.83333333333333,6.68333333333333,1.83631157407407,1,10.3
"München","Deutschland :de:",6.06666666666667,7.5,6.52471064814815,3,10.9
"Hamburg","Deutschland :de:",4.23333333333333,7.03333333333333,2.45855416666667,1,9.9
"Köln","Deutschland :de:",4.55,10.4666666666667,3.31834166666667,2,11.5
"Dresden","Deutschland :de:",5.5,7.51666666666667,3.71258009259259,2,2.8
"Leipzig","Deutschland :de:",5.58333333333333,7.56666666666667,3.22109675925926,2,7.4
"Frankfurt am Main","Deutschland :de:",6.1,7.98333333333333,5.05243888888889,4,6.2
"Freiburg im Breisgau","Deutschland :de:",6.2,8.83333333333333,5.52908564814815,3,3.7
"Berchtesgaden","Deutschland :de:",5.21666666666667,6.56666666666667,5.41146435185185,3,26.4
"Garmisch-Partenkirchen","Deutschland :de:",5.73333333333333,5.68333333333333,6.03760509259259,3,9.56
"Binz (Rügen)","Deutschland :de:",5.53333333333333,3.6,4.07707083333333,2,9.9
"Heringsdorf (Usedom)","Deutschland :de:",5.93333333333333,3.93333333333333,2.28614351851852,1,11.2
"Westerland (Sylt)","Deutschland :de:",4.68333333333333,3.65,2.58595925925926,1,12.7
"Wernigerode (Harz)","Deutschland :de:",5.11666666666667,6.53333333333333,3.82838148148148,3,12.1
"Cochem (Mosel)","Deutschland :de:",5.8,9.95,3.25331805555556,3,6
"Kempten (Allgäu)","Deutschland :de:",5.53333333333333,5.25,6.39462037037037,2,13
"Nürnberg","Deutschland :de:",5.7,7.01666666666667,5.57149212962963,2,9.4
"Münster","Deutschland :de:",4.56666666666667,9.58333333333333,3.12681527777778,2,14.7
"Stuttgart","Deutschland :de:",6.03333333333333,8.3,5.73694722222222,3,5.1
"Norderney","Deutschland :de:",4.55,5.06666666666667,3.06178703703704,1,9.1
"Erfurt","Deutschland :de:",5.86666666666667,7.3,4.77315972222222,3,4.1
"Bremen","Deutschland :de:",4.56666666666667,7.85,1.8972375,1,4.4
"Timmendorfer Strand","Deutschland :de:",4.61666666666667,6,3.00806666666667,1,7.2
"Karlsbad","Tschechien :cz:",5.43333333333333,5,4.28069490740741,3,12.8
"Enschede","Niederlande :nl:",4.6,9.63333333333333,3.11093518518519,2,15.9
"Pilsen","Tschechien :cz:",5.83333333333333,5.86666666666667,4.67698935185185,4,4.6
"Maastricht","Niederlande :nl:",5.15,10.8166666666667,3.58250601851852,2,4.8
"Giethoorn","Niederlande :nl:",4.85,9.06666666666667,3.29979953703704,2,12.3
"Groningen","Niederlande :nl:",4.88333333333333,8.9,3.06953657407407,1,6.5
"Eindhoven","Niederlande :nl:",5.25,10.6666666666667,4.02043981481481,1,10.2
"Prag","Tschechien :cz:",6.1,6.91666666666667,5.39956203703704,4,2.1
"Luxemburg","Luxemburg :lu:",5.61666666666667,9.2,3.8828662037037,3,5
"Straßburg","Frankreich :fr:",5.81666666666667,8.85,5.24567962962963,3,5.2
"Amsterdam","Niederlande :nl:",5.68333333333333,9.53333333333333,4.57615231481481,2,9.6
"Dinant","Belgien :be:",5.15,11.1166666666667,3.13155648148148,3,3.7
"Rotterdam","Niederlande :nl:",5.76666666666667,9.75,3.73633055555556,1,5.7
"Antwerpen","Belgien :be:",5.76666666666667,10.8,3.45856342592593,1,5.7
"Zandvoort","Niederlande :nl:",5.6,8.06666666666667,4.08525509259259,3,9.1
"Český Krumlov","Tschechien :cz:",6.23333333333333,5.48333333333333,7.32132314814815,4,2.9
"Terschelling","Niederlande :nl:",6.2,7.01666666666667,4.58571527777778,1,6.1
"Noordwijk","Niederlande :nl:",5.6,9.06666666666667,4.02681944444444,2,6.8
"Bergen aan Zee","Niederlande :nl:",5.6,8.58333333333333,4.80606898148148,2,16.7
"Nancy","Frankreich :fr:",5.93333333333333,8.2,4.80060555555556,4,7.8
"Brüssel","Belgien :be:",6.03333333333333,11.1,4.26610462962963,2,3.1
"Texel","Niederlande :nl:",6.43333333333333,8.25,6.42393518518518,1,13
"Scheveningen","Niederlande :nl:",5.71666666666667,9.13333333333333,3.98914398148148,1,7.6
"Fåborg","Dänemark :dk:",4.46666666666667,3.96666666666667,2.71433148148148,1,14.2
"Salzburg","Österreich :at:",5.25,7.36666666666667,5.58784861111111,3,25.6
"Renesse","Niederlande :nl:",6.51666666666667,9.51666666666667,4.89906111111111,2,3.1
"Linz","Österreich :at:",6.16666666666667,7.21666666666667,6.49939305555556,4,4.4
"Zürich","Schweiz :ch:",6.23333333333333,7.65,6.25623101851852,3,4.2
"Basel","Schweiz :ch:",6.3,9.15,6.39885185185185,2,5.1
"Innsbruck","Österreich :at:",6.16666666666667,7.35,7.90718472222222,3,8.9
"Domburg","Niederlande :nl:",6.58333333333333,9.61666666666667,5.56018657407407,2,3.6
"Breslau","Polen :pl:",5.63333333333333,6.5,3.03031064814815,2,9.6
"Køge","Dänemark :dk:",5.53333333333333,4.16666666666667,4.56652916666667,1,12.9
"Posen","Polen :pl:",5.23333333333333,5.18333333333333,2.79715462962963,2,10.8
"Zell am See","Österreich :at:",5.56666666666667,5.41666666666667,7.83989814814815,2,14.5
"Brügge","Belgien :be:",6.76666666666667,11.2166666666667,3.66404768518519,3,2.3
"Hallstatt","Österreich :at:",4.41666666666667,4.8,4.89571203703704,2,27.9
"Luzern","Schweiz :ch:",6.26666666666667,8.8,7.24051203703704,2,4.2
"De Haan","Belgien :be:",6.93333333333333,10.5833333333333,5.31573888888889,4,4.9
"Ostende","Belgien :be:",6.8,10.7,4.25284675925926,3,4.1
"Kopenhagen","Dänemark :dk:",5.75,3.8,4.6285837962963,1,9.2
"Malmö","Schweden :se:",5.33333333333333,3.1,3.92073796296296,1,13
"Brünn","Tschechien :cz:",6.26666666666667,6.86666666666667,5.8916037037037,4,3.2
"Meran","Italien :it:",8.3,11.2,9.2231962962963,5,1.3
"Bern","Schweiz :ch:",6.56666666666667,7.7,7.83454166666667,4,3.4
"Bornholm","Dänemark :dk:",5.51666666666667,1.95,3.05128148148148,1,9.8
"Aarhus","Dänemark :dk:",5.1,4.8,1.47307314814815,1,11.3
"St. Moritz","Schweiz :ch:",7.23333333333333,1.11666666666667,9.68355925925926,5,1.5
"Hvide Sande","Dänemark :dk:",4,3.88333333333333,2.42630416666667,1,20.5
"Interlaken","Schweiz :ch:",6.53333333333333,7.81666666666667,8.05873101851852,3,4.1
"Bozen","Italien :it:",8.3,10.9833333333333,8.46400972222222,5,0.4
"Wien","Österreich :at:",7.13333333333333,8.68333333333333,7.13603009259259,5,12
"Dijon","Frankreich :fr:",7.4,10.1333333333333,6.74848611111111,5,3.3
"Ostrava","Tschechien :cz:",6.1,5.21666666666667,3.28150601851852,3,7.4
"Klagenfurt am Wörthersee","Österreich :at:",8.06666666666667,7.15,8.32635925925926,5,0.2
"Riva del Garda","Italien :it:",8.43333333333333,12.4166666666667,9.74884490740741,5,0.2
"Graz","Österreich :at:",8,8.63333333333333,7.81767175925926,5,0.3
"Le Touquet-Paris-Plage","Frankreich :fr:",6.51666666666667,9.78333333333333,5.66611388888889,2,2
"Bratislava","Slowakei :sk:",6.43333333333333,7.91666666666667,6.09454212962963,5,10.5
"Zermatt","Schweiz :ch:",6.65,5.76666666666667,9.58654259259259,3,6
"Bled","Slowenien :si:",7.73333333333333,6.95,7.11836759259259,4,0.5
"Paris","Frankreich :fr:",7.66666666666667,11.8666666666667,7.25298194444444,4,4
"Norwich","England :gb-eng:",6.9,10.6166666666667,4.73732314814815,2,3.76
"Ipswich","England :gb-eng:",6.93333333333333,11.0166666666667,4.57028148148148,1,4.8
"Katowice","Polen :pl:",4.15,3.45,3.18482962962963,0,9.4
"Torri del Benaco","Italien :it:",8.4,11.3,9.46927083333333,5,0.4
"Genf","Schweiz :ch:",6.3,8.28333333333333,7.84898888888889,3,9.2
"Sirmione","Italien :it:",8.36666666666667,11.5833333333333,8.59201064814815,6,0
"Mailand","Italien :it:",8.36666666666667,11.7166666666667,8.54515509259259,6,0
"Danzig","Polen :pl:",6.46666666666667,2.58333333333333,5.35303194444444,2,5.7
"Maribor","Slowenien :si:",7.7,8.51666666666667,7.41160046296296,5,0.8
"Ljubljana","Slowenien :si:",7.8,8.43333333333333,6.34118425925926,5,0.8
"Annecy","Frankreich :fr:",6.63333333333333,10.2,7.99868101851852,2,7.2
"Venedig","Italien :it:",8,9.9,7.88868703703704,5,1.8
"Triest","Italien :it:",7.83333333333333,10.4,6.63175185185185,5,0.1
"Cambridge","England :gb-eng:",6.96666666666667,11.0166666666667,4.96707962962963,2,3.3
