"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.03.2026",7.6,3.3,5.84918611111111,0,0
"11.03.2026",6.6,2.7,0,0,0
"12.03.2026",4.8,3.2,0.0180361111111111,0.78,3
"13.03.2026",3.6,4,0,2.1,5
"14.03.2026",6.6,3.5,4.31038611111111,0.8,0
"15.03.2026",7.4,3,6.32489444444444,0,0
"16.03.2026",5.8,4.1,0,0.8,0
"17.03.2026",5.4,2,0,2.5,0
"18.03.2026",7.6,0.9,6.81933888888889,0,0
"19.03.2026",5.6,1.5,0,2.4,0
"20.03.2026",7.8,2.9,10.7027444444444,0,0
