"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.03.2026",6.4,8.8,0.417375,0,0
"16.03.2026",5.2,7.4,1.67362222222222,1.7,2
"17.03.2026",8.6,11.5,10.682825,0,0
"18.03.2026",8.8,14.4,10.7110361111111,0,0
"19.03.2026",8.8,15.8,10.6954277777778,0,0
"20.03.2026",7.8,13,4.54509166666667,0,0
"21.03.2026",8.8,14,10.7952861111111,0,0
"22.03.2026",8.8,14,11.3473555555556,0,0
"23.03.2026",8.8,16.2,11.4279555555556,0,0
"24.03.2026",8.4,14.5,10.4130083333333,0,0
"25.03.2026",8.8,18.5,10.5274944444444,0,0
