"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",8.53333333333333,13.0111111111111,11.4877410493827,7,0.4
"München","Deutschland :de:",8.91111111111111,13.7,13.3338265432099,9,0
"Hamburg","Deutschland :de:",8.6,12.8222222222222,12.1632570987654,7,1.2
"Köln","Deutschland :de:",8.42222222222222,12.7111111111111,11.0539854938272,6,2.2
"Dresden","Deutschland :de:",8.53333333333333,11.7111111111111,11.9162768518519,8,0.3
"Leipzig","Deutschland :de:",8.71111111111111,12.3333333333333,12.6863645061728,9,0
"Frankfurt am Main","Deutschland :de:",9.13333333333333,15.2333333333333,13.8584049382716,9,0
"Freiburg im Breisgau","Deutschland :de:",9.08888888888889,17.0666666666667,13.7096546296296,9,0
"Berchtesgaden","Deutschland :de:",8.44444444444444,12.6333333333333,12.9598854938272,7,1.1
"Garmisch-Partenkirchen","Deutschland :de:",8.35555555555556,13.8444444444444,12.7643459876543,7,0
"Binz (Rügen)","Deutschland :de:",8.6,10.1222222222222,13.5810478395062,8,2.5
"Heringsdorf (Usedom)","Deutschland :de:",8.51111111111111,9.98888888888889,13.1220299382716,8,2.3
"Westerland (Sylt)","Deutschland :de:",8.37777777777778,7.74444444444444,13.2956706790123,9,0
"Wernigerode (Harz)","Deutschland :de:",8.48888888888889,10.8444444444444,12.929812962963,8,1.2
"Cochem (Mosel)","Deutschland :de:",8.91111111111111,14.0222222222222,12.7683799382716,9,0
"Kempten (Allgäu)","Deutschland :de:",8.38888888888889,13.6333333333333,13.2090339506173,7,0
"Nürnberg","Deutschland :de:",8.97777777777778,14.2777777777778,13.7468064814815,9,0
"Münster","Deutschland :de:",8.22222222222222,12.4555555555556,9.12676635802469,6,2.1
"Stuttgart","Deutschland :de:",9.04444444444444,15.4111111111111,13.903575617284,9,0
