"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",5.45454545454546,1.04545454545455,2.97611994949495,6,7.9
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",5.89090909090909,0.0272727272727273,3.91420681818182,4,7.16
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.16363636363636,2.67272727272727,3.70982398989899,5,7.9
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",6.27272727272727,4.04545454545455,3.99829823232323,4,10.7
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",4.69090909090909,0.754545454545455,2.8104452020202,5,20.3
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",5.83636363636364,1.10909090909091,3.10727702020202,6,10.35
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",6.76363636363636,2.62727272727273,4.4186398989899,7,3.1
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",6.43636363636364,1.51818181818182,4.29692904040404,6,9.76
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",4.55454545454545,0.363636363636364,4.38926666666667,4,18.4
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",6.50909090909091,2.05454545454545,5.47821843434343,5,9.2
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",6.34545454545455,2.2,4.29266414141414,5,8.9
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.30909090909091,1.84545454545455,4.05177626262626,7,6.1
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6.34545454545455,5.79090909090909,4.26654292929293,4,17.8
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",4.69090909090909,0.709090909090909,3.58844671717172,3,26.45
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",6.89090909090909,4,4.06517601010101,7,6.7
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",5.83636363636364,-0.3,4.69444444444444,5,12.15
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.29090909090909,0.881818181818182,3.59858358585859,5,6.26
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",5.85454545454545,3.71818181818182,1.62354823232323,4,15.6
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.61818181818182,1.90909090909091,4.9859547979798,6,8.3
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",5.42727272727273,6.9,3.4590505050505,3,25.25
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",5.68181818181818,0.690909090909091,3.4108547979798,6,10.94
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",5.96363636363636,2.21818181818182,3.40525858585859,4,10.5
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.25454545454545,2.70909090909091,3.57637954545455,4,6.2
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",5.01818181818182,0.281818181818182,3.77925808080808,3,23.74
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",6.12727272727273,3.8,2.11030378787879,4,21
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.29090909090909,0.5,3.61055252525253,4,9.6
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",6.43636363636364,3.74545454545455,3.7285648989899,5,13.2
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",6.22727272727273,4.98181818181818,2.68568434343434,6,20.5
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",5.80909090909091,5.88181818181818,2.93928409090909,2,23.7
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",6.32727272727273,4.34545454545455,2.35360505050505,5,20
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",6.36363636363636,1.17272727272727,3.86249090909091,5,11.25
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",6.96363636363636,2.89090909090909,4.1032595959596,6,5.6
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.09090909090909,2.12727272727273,4.13297121212121,5,6.56
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",5.90909090909091,5.95454545454545,1.47303383838384,4,20.9
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",6.81818181818182,4.16363636363636,3.50640328282828,8,6.5
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",6.09090909090909,5.71818181818182,2.13168661616162,5,15.2
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",6.65454545454546,4.85454545454545,3.328325,6,10.3
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",5.76363636363636,6.62727272727273,1.6336148989899,3,21.7
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",5.59090909090909,0.318181818181818,4.68089797979798,4,6.7
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",6.38181818181818,7.08181818181818,2.3384952020202,4,12.8
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",5.70909090909091,6.47272727272727,1.60960757575758,3,27.1
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",5.81818181818182,6.32727272727273,1.47258661616162,4,21.8
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.76363636363636,2.46363636363636,3.93507601010101,6,5.2
