"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.04.2026",9,16,8.26804166666667,0,0
"16.04.2026",9.8,20.5,12.6852277777778,0,0
"17.04.2026",9.8,21.3,12.0961694444444,0,0
"18.04.2026",9.6,21.8,12.3213,0,0
"19.04.2026",6,16.1,0.0305777777777778,2.7,0
"20.04.2026",8.6,16.6,13.103175,0,0
"21.04.2026",8.2,13.2,10.60595,0,0
"22.04.2026",8.6,14.8,13.8330333333333,0,0
"23.04.2026",9,17.2,13.8860527777778,0,0
"24.04.2026",8.6,17.4,13.8794527777778,0,0
"25.04.2026",8.4,13.9,13.9910027777778,0,0
