"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",7.36666666666667,2.1,4.20130925925926,6,0
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",7.3,2.23333333333333,4.43250787037037,6,0
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.9,2.56666666666667,2.79683194444444,5,1
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",7.4,6.76666666666667,4.89084166666667,6,0
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",7.76666666666667,3.7,5.44477222222222,6,0
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.93333333333333,4.21666666666667,6.48510324074074,6,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",7.36666666666667,4.65,3.54649953703704,6,0
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7.2,4.48333333333333,2.73678935185185,6,0
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",8.1,6.6,7.42446666666667,6,0
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",8.13333333333333,8.48333333333333,7.56128287037037,6,0
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",6.96666666666667,0.883333333333333,3.62726388888889,6,0
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.83333333333333,0.333333333333333,4.04604953703704,6,0
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6.2,3.41666666666667,0.203898148148148,3,1.55
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",7.6,4.4,6.52455694444444,6,0
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",7.66666666666667,7.33333333333333,6.50851805555556,5,0.83
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",7.86666666666667,3.3,6.94668425925926,6,0
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",7.63333333333333,3.23333333333333,5.51538101851852,6,0
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",7.63333333333333,5.9,6.02095787037037,6,0
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",7.7,4.88333333333333,5.76246064814815,6,0
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",6.73333333333333,4.06666666666667,1.64089305555556,5,0.6
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",7.93333333333333,3.68333333333333,6.76234722222222,6,0
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",7.2,3.96666666666667,2.9654,5,0.1
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.93333333333333,2.5,2.91427037037037,5,0.3
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.73333333333333,-0.116666666666667,3.25280787037037,6,0
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",7.4,6.08333333333333,5.15028240740741,5,0.1
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.73333333333333,0.25,3.18261342592593,6,0
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",7.53333333333333,8.28333333333333,4.83759166666667,5,0.3
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",7.06666666666667,6.01666666666667,3.64489722222222,5,0.6
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",6.93333333333333,5.6,2.72484768518519,4,0.7
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",7.3,6.98333333333333,4.49936898148148,4,0.4
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",7.2,1.51666666666667,3.59664259259259,6,0
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",7.13333333333333,5.03333333333333,4.34716805555556,5,0.71
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",7.23333333333333,4.55,2.66163055555556,6,0
