"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.11.2025",9.4,21.4,9.21418888888889,0,0
"14.11.2025",9.4,21.7,9.160925,0,0
"15.11.2025",9.6,24.1,8.63948333333333,0,0
"16.11.2025",9.6,23.5,8.86836666666667,0,0
"17.11.2025",9.2,24.6,5.57713333333333,0,0
"18.11.2025",9,23.6,6.97138611111111,0,0
"19.11.2025",7.8,22.7,4.16206666666667,1.5,0
"20.11.2025",8.6,19.6,8.73499444444444,0,0
"21.11.2025",8.4,18.3,9.19272777777778,0.1,0
"22.11.2025",8.4,17.7,9.19566111111111,0.1,0
"23.11.2025",8.4,18.1,9.25291388888889,0,0
