"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.11.2025",6.4,12,0,0.3,0
"13.11.2025",6.6,12.6,0,0,0
"14.11.2025",6,8.1,0,0,0
"15.11.2025",6.6,6.4,2.35049166666667,0,0
"16.11.2025",7.8,7.5,6.86283611111111,0,0
"17.11.2025",7.6,8.1,5.00180277777778,0,0
"18.11.2025",6.6,7.3,5.91321111111111,0.6,0
"19.11.2025",6.4,8.3,6.62556944444444,1.1,0
"20.11.2025",7,3.4,6.58843611111111,0,0
"21.11.2025",5.2,3.4,0,1.5,0
"22.11.2025",6.8,2.7,6.58529444444445,0,0
