"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"19.11.2025",8,2.5,6.01604444444444,0,0
"20.11.2025",5,1,1.23315,0.6,2
"21.11.2025",1,-1.9,0,2.9,15
"22.11.2025",6.2,-3.1,7.31510833333333,0,0
"23.11.2025",7.4,0.4,7.03854722222222,0,0
"24.11.2025",1.4,3.2,1.31718611111111,0.3,14
"25.11.2025",1,3.1,1.31309166666667,1.2,15
"26.11.2025",1,-0.2,6.73280555555556,0.6,15
"27.11.2025",5.6,-1.1,7.72358888888889,0,0
"28.11.2025",7.2,2.6,7.65793888888889,0,0
"29.11.2025",7.2,5.2,7.62104722222222,0,0
