"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.11.2025",6.2,11.2,0.797847222222222,0.8,1
"12.11.2025",8.2,12.8,6,0,0
"13.11.2025",7.6,13.4,3.20287777777778,0.1,0
"14.11.2025",5.8,10,0,0,0
"15.11.2025",6.8,7,5.15455277777778,0,0
"16.11.2025",7.4,5.4,6.95940555555556,0,0
"17.11.2025",8,5.4,7.03458055555556,0,0
"18.11.2025",7.2,5.6,6.97994444444444,0.3,0
"19.11.2025",7.4,3.8,6.80006666666667,0,0
"20.11.2025",7.4,3,6.48214166666667,0,0
"21.11.2025",5,3,0,3.4,0
