"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.12.2025",8.2,8.9,6.47289722222222,0,0
"16.12.2025",8,12.4,5.82215,0,0
"17.12.2025",7,8.6,1.69524444444444,0.3,0
"18.12.2025",8,10.9,5.88940555555556,0,0
"19.12.2025",7.2,11.8,3.85361666666667,0,0
"20.12.2025",5.4,7.9,0,4.8,0
"21.12.2025",7,8.4,1.22857222222222,0,0
"22.12.2025",7.8,6.6,6.64660555555556,0,0
"23.12.2025",7.2,5.7,2.15501944444444,0,0
"24.12.2025",7.8,4.7,6.71145,0,0
"25.12.2025",7,2.8,2.65326111111111,0,0
