"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.03.2026",9.6,21.7,10.876375,0,0
"16.03.2026",9.6,21.7,10.5978694444444,0,0
"17.03.2026",9.4,21.7,10.8952416666667,0,0
"18.03.2026",8.4,20.2,9.90458888888889,0,0
"19.03.2026",4.2,18.9,10.862375,6.3,9
"20.03.2026",3.2,19.7,11.4163444444444,1.5,15
"21.03.2026",7.8,20.2,11.4450555555556,1.2,0
"22.03.2026",7.8,22.3,11.4851,0,2
"23.03.2026",9,20.4,11.5035638888889,0,0
"24.03.2026",9.4,20.7,11.5221055555556,0,0
"25.03.2026",9.4,20.9,11.5181388888889,0,0
