"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"27.03.2026",6.4,9.7,3.40358888888889,0,3
"28.03.2026",8.8,13.9,11.1855805555556,0,0
"29.03.2026",7.2,11.9,6.84817222222222,1.2,0
"30.03.2026",6.4,12.4,9.63649722222222,1.5,3
"31.03.2026",7.6,11.7,10.1238055555556,1,0
"01.04.2026",7.2,11.8,6.91306666666667,0.1,0
"02.04.2026",8.4,16.6,9.52553333333333,0,0
"03.04.2026",8.4,9,12.7637666666667,0,0
"04.04.2026",8.4,9.1,12.4704138888889,0.3,0
"05.04.2026",8.8,10.2,12.8736305555556,0,0
"06.04.2026",8.6,15.6,12.9282583333333,0,0
