"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.02.2026",6.4,0.4,0,0,0
"14.02.2026",5.6,-1,0.770963888888889,0,0
"15.02.2026",6.8,-1,7.73303611111111,0,0
"16.02.2026",4.2,-2.6,0.646427777777778,1.1,0
"17.02.2026",5,0.3,0,3.3,0
"18.02.2026",7.6,0.1,8.75769444444444,0,0
"19.02.2026",4.8,1.3,0,4.1,0
"20.02.2026",5.8,-0.1,8.94034166666667,0,0
"21.02.2026",7,3.2,8.032175,0.4,0
"22.02.2026",7,3.4,8.80861111111111,0.2,0
"23.02.2026",7.4,1.4,8.89943333333333,0,0
