"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.12.2025",8.2,10,5.95512222222222,0,0
"16.12.2025",4.6,8.7,0,0.55,2
"17.12.2025",7,11.2,1.75194444444444,0,0
"18.12.2025",8.2,9.9,7.46748333333333,0,0
"19.12.2025",7.4,9.1,1.34023055555556,0,0
"20.12.2025",8,9.2,5.24026111111111,0,0
"21.12.2025",6.2,9.3,0,0.5,0
"22.12.2025",6.8,9.5,2.73275,0,0
"23.12.2025",7,8.7,4.14360833333333,0,0
"24.12.2025",7,7.6,4.61282777777778,0.4,0
"25.12.2025",7,5.1,3.451875,0,0
