"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.04.2026",9.2,19,10.9939444444444,0,0
"18.04.2026",6.6,12.2,7.07881944444444,1.2,1
"19.04.2026",6.6,11.5,13.3060472222222,0.2,4
"20.04.2026",6.4,10.4,13.7175611111111,1.5,3
"21.04.2026",8.8,12.6,13.7804666666667,0,0
"22.04.2026",9,14.6,14.0115138888889,0,0
"23.04.2026",8.4,11,13.2237111111111,0,0
"24.04.2026",8.6,10.1,12.3786722222222,0,0
"25.04.2026",8.4,12.4,13.8909777777778,0,0
"26.04.2026",8.8,19,14.3937638888889,0,0
"27.04.2026",9,20.6,14.49295,0,0
