"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.02.2026",1.6,4.9,0,3,8
"18.02.2026",6.4,1.5,0.134080555555556,0.1,0
"19.02.2026",7.6,1.3,7.00882777777778,0,0
"20.02.2026",8,3.2,9.02111388888889,0,0
"21.02.2026",1.1,8.8,0,6.4,10
"22.02.2026",1.2,11.2,0.948988888888889,1.6,15
"23.02.2026",2.2,11.8,3.16485555555556,0.3,13
"24.02.2026",7.8,8.4,9.47956111111111,0,0
"25.02.2026",7.4,12.1,9.54796944444445,0,0
"26.02.2026",7,11.6,5.81860555555556,0,0
"27.02.2026",6.8,8.4,9.17690277777778,0.3,0
