"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.03.2026",8.8,15.3,10,0,0
"02.03.2026",8.2,14.4,5.97504444444444,0,0
"03.03.2026",3,14.7,0.44425,1.2,9
"04.03.2026",5.8,14.2,0,0.4,0
"05.03.2026",1.1,14.3,0,15.7,10
"06.03.2026",2.5,12,0.253388888888889,0,11
"07.03.2026",8.2,13.7,10.6053472222222,0,0
"08.03.2026",8,12.5,9.35242222222222,0,0
"09.03.2026",6.6,11.6,4.44391666666667,2.9,0
"10.03.2026",8.4,13.5,10.7535111111111,0,0
"11.03.2026",8.8,13.9,10.8027361111111,0,0
